venue,capacity,address
札幌厚別公園競技場,20861,北海道札幌市厚別区上野幌3条1-2-1
熊谷スポーツ文化公園陸上競技場,15392,埼玉県熊谷市上川上300 熊谷スポーツ文化公園内
神戸総合運動公園ユニバー記念競技場,35910,兵庫県神戸市須磨区緑台
栃木県グリーンスタジアム,18025,栃木県宇都宮市清原工業団地32
熊本市水前寺競技場,15000,熊本県熊本市中央区水前寺5丁目23−3
昭和電工ドーム大分,40000,大分県大分市横尾1351
東平尾公園博多の森陸上競技場,30000,福岡県福岡市博多区東平尾公園2丁目1−2
たけびしスタジアム京都,20588,京都府京都市右京区西京極新明町29
大分市営陸上競技場,15943,大分県大分市西浜1−1
浦和駒場スタジアム,21500,埼玉県さいたま市浦和区駒場2丁目1−1
セービング陸上競技場,23939,山口県下関市向洋町1丁目10−1
北上総合運動公園北上陸上競技場,22000,岩手県北上市相去町高前檀27−36
国立競技場,54224,東京都新宿区霞ヶ丘町10−1
いわきグリーンフィールド,5600,福島県いわき市常磐水野谷町竜ケ沢308
万博記念競技場,21000,大阪府吹田市千里万博公園5-2
山梨県小瀬スポーツ公園陸上競技場,15859,山梨県甲府市小瀬町840
静岡スタジアムエコパ,51697,静岡県袋井市愛野2300−1
名古屋市瑞穂陸上競技場,20223,愛知県名古屋市瑞穂区山下通5-1
広島ビッグアーチ,36894,広島県広島市安佐南区大塚西5丁目1−1
新潟スタジアム,41684,新潟県新潟市中央区清五郎67-12
日本平スタジアム,20248,静岡県静岡市清水区村松3880−1
東平尾公園博多の森球技場,22331,福岡県福岡市博多区東平尾公園2丁目1−2
九州石油ドーム,31997,大分県大分市横尾1351
大阪長居スタジアム,47853,大阪府大阪市東住吉区長居公園1-1
さいたま市浦和駒場スタジアム,21500,埼玉県さいたま市浦和区駒場2丁目1−1
横浜市三ツ沢公園球技場,15440,神奈川県横浜市神奈川区三ツ沢西町3-1
大阪長居第2陸上競技場,15516,大阪府大阪市東住吉区長居公園1−1
熊本県民総合運動公園陸上競技場,30684,熊本県熊本市東区平山町2776 2776番地
東北電力ビッグスワンスタジアム,41684,新潟県新潟市中央区清五郎67-12
ホームズスタジアム神戸,28425,兵庫県神戸市兵庫区御崎町1丁目2−2
柏の葉公園総合競技場,20000,千葉県柏市柏の葉4丁目1
名古屋市瑞穂球技場,20223,愛知県名古屋市瑞穂区山下通5丁目1
鹿児島県立鴨池陸上競技場,12584,鹿児島県鹿児島市与次郎2丁目2−2
アウトソーシングスタジアム日本平,20248,静岡県静岡市清水区村松3880−1
平塚競技場,15732,神奈川県平塚市大原1−1
宮城スタジアム,49133,宮城県宮城郡利府町菅谷字舘40-1
コカ・コーラウエスト広島スタジアム,13800,広島県広島市西区観音新町2丁目11−124
佐賀県総合運動場陸上競技場,17000,佐賀県佐賀市日の出2-1-10
ShonanBMWスタジアム平塚,15732,神奈川県平塚市大原1−1
パナソニックスタジアム吹田,39694,大阪府吹田市千里万博公園3−3
