id,home_team,away_team,temperature,humidity,attendance,match_datetime,section_encoded,venue_capacity,venue_encoded,round_encoded,weather_encoded,num_broadcasters
9304,名古屋,広島,26.5,64,6760,2006-07-19 19:01:00,13,20223,4,1,0,2
9305,C大阪,大分,24.6,79,6806,2006-07-19 19:00:00,13,47853,16,1,1,1
9306,福岡,FC東京,23.2,96,12142,2006-07-19 19:04:00,13,22331,14,1,2,2
9307,FC東京,鹿島,25.1,54,17070,2006-07-22 18:06:00,14,20396,20,1,0,2
9308,広島,千葉,24.6,87,13432,2006-07-22 18:06:00,14,36894,7,1,0,1
9309,大宮,甲府,24.5,80,7493,2006-07-22 19:00:00,14,21500,19,1,1,1
9310,川崎F,浦和,24.4,77,23005,2006-07-22 19:04:00,14,26232,6,1,1,2
9311,磐田,C大阪,25.1,75,13524,2006-07-22 19:02:00,14,15165,17,1,1,3
9312,G大阪,名古屋,26.7,75,17864,2006-07-22 19:05:00,14,21000,0,1,1,2
9314,横浜FM,福岡,24.8,84,19223,2006-07-23 19:05:00,14,71624,8,2,11,2
9315,京都,清水,22.8,98,9005,2006-07-23 19:05:00,14,20588,13,2,2,4
9316,浦和,大分,28.3,68,16040,2006-07-26 19:04:00,15,21500,19,1,0,3
9317,川崎F,G大阪,26.8,74,20425,2006-07-26 19:05:00,15,26232,6,1,0,1
9318,新潟,鹿島,24.5,73,39278,2006-07-26 19:02:00,15,41684,10,1,0,2
9319,磐田,横浜FM,25.8,79,12875,2006-07-26 19:04:00,15,15165,17,1,0,2
9320,名古屋,大宮,30.4,66,6618,2006-07-26 19:00:00,15,20223,4,1,0,1
9321,京都,千葉,30.5,74,13225,2006-07-26 19:04:00,15,20588,13,1,0,2
9322,C大阪,FC東京,28.8,83,8027,2006-07-26 19:05:00,15,47853,16,1,0,2
9323,広島,甲府,25.0,89,5545,2006-07-26 19:00:00,15,36894,7,1,11,1
9324,福岡,清水,28.3,78,13655,2006-07-26 19:00:00,15,22331,14,1,0,1
9325,大宮,京都,29.8,51,7278,2006-07-29 18:04:00,16,15392,22,1,1,3
9326,FC東京,広島,27.7,72,31684,2006-07-29 18:34:00,16,47851,2,1,1,3
9327,甲府,浦和,28.1,62,17000,2006-07-29 18:34:00,16,15859,1,1,1,1
9328,鹿島,C大阪,24.1,88,14289,2006-07-29 19:05:00,16,38620,12,1,1,2
9329,清水,磐田,28.0,65,24920,2006-07-29 19:05:00,16,51697,3,1,1,3
9330,G大阪,福岡,27.3,75,14621,2006-07-29 19:04:00,16,21000,0,1,0,1
9331,大分,川崎F,29.6,73,20873,2006-07-29 19:04:00,16,31997,15,1,0,1
9332,千葉,名古屋,22.8,74,16961,2006-07-30 19:04:00,16,19470,9,2,0,2
9333,横浜FM,新潟,24.7,59,24032,2006-07-30 19:04:00,16,71624,8,2,1,2
9334,広島,清水,27.3,82,10569,2006-08-12 18:00:00,17,36894,7,1,0,1
9335,浦和,FC東京,24.1,88,50195,2006-08-12 19:04:00,17,62010,5,1,0,4
9336,川崎F,横浜FM,24.1,81,20144,2006-08-12 19:04:00,17,26232,6,1,1,2
9337,新潟,千葉,27.2,59,41487,2006-08-12 19:00:00,17,41684,10,1,0,1
9338,磐田,鹿島,24.9,80,30353,2006-08-12 19:04:00,17,51697,3,1,1,2
9339,名古屋,甲府,27.1,73,12454,2006-08-12 19:01:00,17,20223,4,1,1,1
9340,京都,G大阪,27.3,76,16089,2006-08-12 19:04:00,17,20588,13,1,0,3
9341,C大阪,大宮,29.4,69,12616,2006-08-12 19:00:00,17,47853,16,1,0,1
9342,福岡,大分,28.7,75,18205,2006-08-12 19:04:00,17,22331,14,1,0,2
9343,鹿島,浦和,27.8,82,34236,2006-08-19 19:04:00,18,38620,12,1,1,2
9344,大宮,G大阪,30.4,66,11355,2006-08-19 19:04:00,18,21500,19,1,0,3
9345,新潟,川崎F,29.8,83,38611,2006-08-19 19:04:00,18,41684,10,1,0,1
9346,清水,甲府,27.4,80,15410,2006-08-19 19:04:00,18,20248,11,1,0,2
9347,名古屋,磐田,28.4,80,14392,2006-08-19 19:00:00,18,20223,4,1,0,2
9348,C大阪,横浜FM,30.6,66,18609,2006-08-19 19:02:00,18,47853,16,1,1,2
9349,福岡,京都,24.4,84,10387,2006-08-19 19:00:00,18,22331,14,1,1,1
9350,広島,大分,27.9,82,10145,2006-08-20 18:05:00,18,36894,7,2,0,2
9351,千葉,FC東京,27.3,89,17261,2006-08-20 19:04:00,18,19470,9,2,0,2
9352,浦和,新潟,27.6,84,34417,2006-08-23 19:04:00,19,62010,5,1,0,3
9353,FC東京,福岡,28.6,64,18533,2006-08-23 19:04:00,19,54224,23,1,1,2
9354,川崎F,名古屋,28.8,67,11306,2006-08-23 19:01:00,19,26232,6,1,1,1
9355,横浜FM,大宮,27.1,80,11623,2006-08-23 19:05:00,19,15440,24,1,1,2
9356,甲府,鹿島,27.3,76,12115,2006-08-23 19:04:00,19,15859,1,1,1,1
9357,磐田,千葉,27.6,81,11992,2006-08-23 19:02:00,19,15165,17,1,1,2
9358,京都,C大阪,27.5,61,11291,2006-08-23 19:04:00,19,20588,13,1,0,2
9359,G大阪,広島,27.4,55,17826,2006-08-23 19:04:00,19,21000,0,1,0,2
9360,大分,清水,29.3,70,18864,2006-08-23 19:04:00,19,31997,15,1,0,1
9361,大宮,川崎F,25.5,72,9076,2006-08-26 18:03:00,20,15392,22,1,1,2
9362,鹿島,広島,26.0,64,14052,2006-08-26 18:30:00,20,38620,12,1,1,1
9363,甲府,磐田,25.1,75,14227,2006-08-26 18:34:00,20,15859,1,1,2,1
9364,新潟,大分,27.0,62,40466,2006-08-26 19:04:00,20,41684,10,1,0,2
9365,清水,FC東京,26.8,58,16177,2006-08-26 19:04:00,20,20248,11,1,1,1
9366,C大阪,浦和,29.3,69,23386,2006-08-26 19:05:00,20,47853,16,1,1,2
9367,福岡,千葉,26.6,86,17738,2006-08-26 19:00:00,20,22331,14,1,0,2
9368,名古屋,G大阪,27.0,73,17556,2006-08-27 19:05:00,20,20223,4,2,1,3
9369,京都,横浜FM,26.3,89,8886,2006-08-27 19:04:00,20,20588,13,2,1,3
9370,千葉,川崎F,24.2,82,11433,2006-08-30 18:30:00,21,19470,9,1,1,1
9371,鹿島,名古屋,24.4,84,9457,2006-08-30 18:59:00,21,38620,12,1,1,2
9372,大宮,福岡,25.9,68,4873,2006-08-30 19:04:00,21,21500,19,1,1,2
9373,FC東京,C大阪,26.3,60,21041,2006-08-30 19:04:00,21,54224,23,1,1,3
9374,横浜FM,甲府,25.1,74,12384,2006-08-30 19:05:00,21,15440,24,1,6,2
9375,清水,京都,26.7,83,9249,2006-08-30 19:00:00,21,20248,11,1,1,1
9376,G大阪,新潟,26.1,63,13979,2006-08-30 19:03:00,21,21000,0,1,1,2
9377,広島,磐田,25.4,80,9513,2006-08-30 19:04:00,21,36894,7,1,1,1
9378,大分,浦和,25.7,90,27843,2006-08-30 19:04:00,21,31997,15,1,3,2
9379,横浜FM,川崎F,29.3,68,22769,2006-09-09 16:04:00,22,71624,8,1,5,2
9380,広島,名古屋,25.6,90,9299,2006-09-09 18:02:00,22,36894,7,1,1,2
9381,FC東京,甲府,27.5,79,21382,2006-09-09 18:34:00,22,47851,2,1,1,2
9382,千葉,清水,26.2,86,13463,2006-09-09 19:04:00,22,19470,9,1,1,2
9383,磐田,新潟,27.0,90,11471,2006-09-09 19:00:00,22,15165,17,1,0,1
9384,G大阪,C大阪,29.4,64,20463,2006-09-09 19:04:00,22,21000,0,1,0,3
9385,大分,福岡,25.8,86,26841,2006-09-09 19:04:00,22,31997,15,1,3,1
9386,鹿島,京都,27.3,77,9142,2006-09-10 19:04:00,22,38620,12,2,0,2
9387,大宮,浦和,28.6,75,35059,2006-09-10 19:05:00,22,62010,5,2,0,3
9388,京都,FC東京,26.1,59,8440,2006-09-16 14:04:00,23,20588,13,1,1,3
9390,清水,鹿島,25.3,46,20800,2006-09-16 15:04:00,23,54224,23,1,1,3
9391,浦和,広島,21.3,76,39123,2006-09-16 19:04:00,23,62010,5,1,1,3
9392,名古屋,新潟,24.2,58,9308,2006-09-16 19:00:00,23,20223,4,1,1,1
9393,C大阪,千葉,25.0,57,19036,2006-09-16 19:04:00,23,47853,16,1,0,1
9394,福岡,横浜FM,23.1,88,12519,2006-09-16 19:04:00,23,22331,14,1,6,3
9395,川崎F,磐田,21.3,88,15482,2006-09-17 19:04:00,23,26232,6,2,2,2
9396,甲府,大宮,22.3,79,10150,2006-09-17 19:04:00,23,15859,1,2,1,2
9397,浦和,清水,23.3,58,48378,2006-09-23 15:04:00,24,62010,5,1,0,4
9398,横浜FM,名古屋,23.6,42,21665,2006-09-23 15:05:00,24,71624,8,1,0,2
9399,福岡,C大阪,22.9,55,12654,2006-09-23 15:02:00,24,22331,14,1,0,3
9400,磐田,大分,25.2,43,11218,2006-09-23 15:34:00,24,15165,17,1,10,2
9401,広島,大宮,25.3,41,10265,2006-09-23 16:00:00,24,36894,7,1,0,1
9402,千葉,京都,20.3,64,10857,2006-09-23 18:34:00,24,19470,9,1,9,2
9403,G大阪,川崎F,19.8,57,17544,2006-09-23 19:03:00,24,21000,0,1,0,3
9404,鹿島,FC東京,23.0,52,17398,2006-09-24 15:04:00,24,38620,12,2,0,2
9405,新潟,甲府,21.4,47,40422,2006-09-24 15:04:00,24,41684,10,2,0,2
9406,FC東京,新潟,25.3,49,24136,2006-09-30 15:03:00,25,47851,2,1,0,3
9407,川崎F,広島,24.7,54,12029,2006-09-30 15:04:00,25,26232,6,1,1,2
9408,横浜FM,磐田,24.3,53,25435,2006-09-30 15:04:00,25,71624,8,1,1,3
9409,京都,浦和,23.4,49,16492,2006-09-30 17:04:00,25,20588,13,1,0,4
9410,千葉,大分,21.8,80,10609,2006-09-30 18:31:00,25,19470,9,1,0,1
9411,大宮,名古屋,22.3,78,8223,2006-09-30 19:04:00,25,21500,19,1,1,2
9412,C大阪,鹿島,23.8,45,15186,2006-09-30 19:04:00,25,47853,16,1,0,1
9413,甲府,G大阪,19.8,76,15462,2006-10-01 15:04:00,25,15859,1,2,2,2
9414,清水,福岡,19.5,81,10807,2006-10-01 15:04:00,25,20248,11,2,2,3
9415,京都,大宮,21.6,68,5237,2006-10-06 19:05:00,26,20588,13,1,0,3
9416,浦和,千葉,23.0,45,48952,2006-10-07 15:04:00,26,62010,5,2,0,3
9417,川崎F,大分,24.0,40,10282,2006-10-07 15:01:00,26,26232,6,2,0,1
9418,甲府,広島,18.9,45,10222,2006-10-07 18:05:00,26,15859,1,2,0,2
9419,新潟,横浜FM,16.3,69,35603,2006-10-07 14:04:00,26,41684,10,2,2,2
9420,磐田,G大阪,24.4,36,21066,2006-10-07 15:04:00,26,51697,3,2,0,3
9421,名古屋,FC東京,23.5,40,10840,2006-10-07 14:04:00,26,20223,4,2,0,1
9422,C大阪,清水,20.6,49,7013,2006-10-07 15:04:00,26,15516,25,2,9,2
9423,福岡,鹿島,22.8,59,12181,2006-10-07 15:02:00,26,22331,14,2,0,2
9424,鹿島,千葉,19.1,46,15315,2006-10-14 15:04:00,27,38620,12,1,0,2
9425,川崎F,甲府,17.9,54,14383,2006-10-14 19:04:00,27,26232,6,1,1,2
9426,新潟,京都,21.6,45,36272,2006-10-14 15:04:00,27,41684,10,1,0,2
9427,磐田,大宮,22.0,46,11490,2006-10-14 15:04:00,27,15165,17,1,1,3
9428,名古屋,清水,23.5,51,9888,2006-10-14 14:02:00,27,20223,4,1,7,2
9429,G大阪,横浜FM,26.3,45,16281,2006-10-14 14:04:00,27,21000,0,1,0,3
9430,大分,C大阪,33.1,26,12843,2006-10-14 14:04:00,27,30684,26,1,0,1
9431,浦和,福岡,21.8,47,17541,2006-10-15 15:04:00,27,21500,19,2,0,2
9432,広島,FC東京,24.4,43,11689,2006-10-15 15:05:00,27,36894,7,2,0,2
9433,浦和,川崎F,18.9,65,50134,2006-10-21 16:03:00,28,62010,5,1,0,3
9434,千葉,大宮,20.3,54,12863,2006-10-21 15:04:00,28,19470,9,1,0,1
9435,横浜FM,鹿島,21.3,52,24333,2006-10-21 14:04:00,28,71624,8,1,0,2
9436,甲府,名古屋,24.3,42,9747,2006-10-21 13:04:00,28,15859,1,1,0,3
9437,清水,新潟,21.8,66,13244,2006-10-21 15:04:00,28,20248,11,1,0,2
9438,京都,大分,23.1,40,8491,2006-10-21 14:04:00,28,20588,13,1,0,3
9439,福岡,磐田,24.8,37,16445,2006-10-21 15:04:00,28,22331,14,1,0,4
9440,FC東京,G大阪,21.8,60,36161,2006-10-22 15:04:00,28,47851,2,2,1,3
9441,C大阪,広島,24.8,47,7897,2006-10-22 15:05:00,28,15516,25,2,1,2
9442,大宮,FC東京,21.3,51,10074,2006-10-28 14:00:00,29,21500,19,1,1,1
9443,川崎F,京都,22.1,52,10505,2006-10-28 14:04:00,29,26232,6,1,5,2
9444,甲府,C大阪,22.5,45,9852,2006-10-28 14:04:00,29,15859,1,1,0,2
9445,新潟,福岡,20.3,48,38203,2006-10-28 14:04:00,29,41684,10,1,0,3
9446,磐田,浦和,22.2,66,16162,2006-10-28 14:05:00,29,15165,17,1,5,3
9447,名古屋,千葉,22.9,37,18534,2006-10-28 14:00:00,29,43739,18,1,10,1
9448,広島,横浜FM,23.0,55,16162,2006-10-28 14:04:00,29,36894,7,1,0,2
9449,G大阪,清水,22.2,43,19170,2006-10-29 15:04:00,29,21000,0,2,9,2
9450,大分,鹿島,21.1,49,28690,2006-10-29 15:05:00,29,31997,15,2,0,2
9451,鹿島,G大阪,19.5,66,14663,2006-11-11 15:05:00,30,38620,12,1,8,2
9452,浦和,横浜FM,14.8,83,52582,2006-11-11 15:04:00,30,62010,5,1,6,3
9453,千葉,新潟,17.6,84,11286,2006-11-11 15:01:00,30,19470,9,1,2,1
9455,清水,大宮,16.1,90,9079,2006-11-11 15:04:00,30,20248,11,1,2,2
9456,京都,甲府,15.5,87,5566,2006-11-11 15:04:00,30,20588,13,1,1,4
9457,C大阪,磐田,16.8,77,7873,2006-11-11 15:03:00,30,15516,25,1,6,2
9458,福岡,広島,14.1,80,11505,2006-11-11 15:05:00,30,22331,14,1,6,1
9459,大分,名古屋,15.6,77,19273,2006-11-11 15:05:00,30,31997,15,1,3,2
9460,大宮,鹿島,13.7,42,12094,2006-11-18 14:01:00,31,62010,5,1,0,1
9461,川崎F,福岡,14.6,38,12871,2006-11-18 14:04:00,31,26232,6,1,1,2
9462,横浜FM,清水,14.4,36,20258,2006-11-18 14:05:00,31,71624,8,1,1,2
9463,甲府,大分,13.4,38,9156,2006-11-18 14:04:00,31,15859,1,1,1,2
9464,磐田,FC東京,14.7,52,14406,2006-11-18 14:04:00,31,15165,17,1,1,2
9465,名古屋,浦和,13.1,62,32109,2006-11-18 14:04:00,31,43739,18,1,3,4
9466,広島,京都,8.4,76,8182,2006-11-18 14:04:00,31,36894,7,1,2,3
9467,新潟,C大阪,13.2,53,40393,2006-11-19 15:05:00,31,41684,10,2,4,2
9468,G大阪,千葉,12.6,83,16950,2006-11-19 15:05:00,31,21000,0,2,2,2
9469,鹿島,新潟,13.1,49,12178,2006-11-23 15:00:00,32,38620,12,1,1,1
9470,浦和,甲府,13.4,48,57781,2006-11-23 15:04:00,32,62010,5,1,1,4
9471,千葉,広島,14.3,48,12049,2006-11-23 15:01:00,32,19470,9,1,1,1
9472,FC東京,横浜FM,12.3,45,23553,2006-11-23 15:04:00,32,47851,2,1,1,3
9473,清水,川崎F,14.4,60,12172,2006-11-23 15:04:00,32,20248,11,1,1,2
9474,京都,磐田,12.1,59,13785,2006-11-23 15:04:00,32,20588,13,1,1,3
9475,C大阪,名古屋,13.3,45,8737,2006-11-23 15:04:00,32,15516,25,1,1,1
9476,福岡,G大阪,11.1,84,20187,2006-11-23 15:05:00,32,22331,14,1,2,2
9477,大分,大宮,13.5,72,15841,2006-11-23 15:00:00,32,31997,15,1,3,1
9478,大宮,C大阪,15.9,44,9285,2006-11-26 14:04:00,33,62010,5,1,1,3
9479,FC東京,浦和,11.2,58,41528,2006-11-26 14:03:00,33,47851,2,1,8,5+
9480,川崎F,鹿島,13.4,49,17518,2006-11-26 14:00:00,33,26232,6,1,1,1
9481,横浜FM,大分,13.3,46,24895,2006-11-26 14:00:00,33,71624,8,1,1,1
9482,甲府,千葉,9.1,50,15069,2006-11-26 14:03:00,33,15859,1,1,1,2
9483,磐田,清水,17.1,63,37711,2006-11-26 14:00:00,33,51697,3,1,1,3
9484,名古屋,福岡,14.1,66,10707,2006-11-26 14:02:00,33,20223,4,1,4,2
9485,G大阪,京都,14.3,73,16768,2006-11-26 14:05:00,33,21000,0,1,4,2
9486,広島,新潟,13.8,91,11214,2006-11-26 14:02:00,33,36894,7,1,2,1
9487,鹿島,磐田,14.8,40,16433,2006-12-02 14:02:00,34,38620,12,1,0,2
9488,浦和,G大阪,15.6,34,62241,2006-12-02 14:04:00,34,62010,5,1,0,3
9489,千葉,横浜FM,14.8,36,17175,2006-12-02 14:00:00,34,19470,9,1,0,2
9490,新潟,大宮,8.1,72,33993,2006-12-02 14:04:00,34,41684,10,1,2,2
9491,清水,広島,14.5,31,13581,2006-12-02 14:04:00,34,20248,11,1,0,3
