id,temperature,humidity,attendance,match_datetime,section_encoded,venue_capacity,venue_encoded,round_encoded,weather_encoded,num_broadcasters,home_team_encoded,away_team_encoded,special_holiday,weekend
9224,9.1,66,5556,2006-03-21 19:04:00,4,20588,13,1,0,3,14,7,1,0
9225,5.9,42,9019,2006-03-29 19:02:00,4,21000,0,2,1,2,0,5,0,0
9226,15.3,31,7354,2006-03-25 15:00:00,5,21500,19,1,0,1,5,12,0,1
9227,13.6,58,11835,2006-03-25 15:04:00,5,15165,17,1,0,2,3,6,0,1
9228,12.8,30,9442,2006-03-25 15:02:00,5,47853,16,1,0,2,17,11,0,1
9229,14.3,29,13067,2006-03-25 15:04:00,5,36894,7,1,0,1,7,0,0,1
9230,13.9,45,50572,2006-03-25 15:34:00,5,71624,8,1,0,2,8,9,0,1
9231,11.4,46,8604,2006-03-25 18:05:00,5,15859,1,1,0,2,1,15,0,1
9232,9.9,63,16546,2006-03-25 19:04:00,5,19470,9,1,0,2,10,13,0,1
9233,15.9,44,11878,2006-03-26 14:05:00,5,20223,4,2,0,3,4,16,0,1
9234,16.1,38,17033,2006-03-26 16:04:00,5,47851,2,2,1,3,2,14,0,1
9235,13.8,46,20977,2006-04-01 15:02:00,6,71624,8,1,0,2,8,2,0,1
9236,13.1,33,6282,2006-04-01 15:04:00,6,47853,16,1,1,3,17,1,0,1
9237,10.0,64,10661,2006-04-01 19:04:00,6,20248,11,1,1,2,12,0,0,1
9238,16.0,85,3670,2006-04-02 14:04:00,6,20588,13,2,2,3,14,15,0,1
9239,16.9,69,11747,2006-04-02 15:04:00,6,38620,12,2,4,1,13,5,0,1
9240,15.6,83,10316,2006-04-02 15:00:00,6,26232,6,2,2,1,6,10,0,1
9241,10.5,71,34071,2006-04-02 15:04:00,6,41684,10,2,2,2,11,7,0,1
9242,21.2,29,17406,2006-04-02 15:04:00,6,31997,15,2,3,2,16,3,0,1
9243,15.9,79,44625,2006-04-02 16:04:00,6,62010,5,2,4,3,9,4,0,1
9244,7.9,45,14599,2006-04-08 14:00:00,7,20396,20,1,1,4,1,11,0,1
9245,17.4,28,8370,2006-04-08 15:05:00,7,21500,19,1,0,2,5,8,0,1
9246,14.8,53,8770,2006-04-08 15:02:00,7,19470,9,1,14,2,10,17,0,1
9247,13.9,37,15311,2006-04-08 15:04:00,7,43739,18,1,3,3,4,14,0,1
9248,19.1,17,7418,2006-04-08 15:04:00,7,36894,7,1,0,1,7,6,0,1
9249,15.5,25,24214,2006-04-08 16:03:00,7,47851,2,1,0,2,2,3,0,1
9250,12.9,31,17967,2006-04-08 19:04:00,7,21000,0,1,1,2,0,13,0,1
9251,18.6,37,10039,2006-04-09 13:04:00,7,20248,11,2,0,3,12,16,0,1
9252,20.3,28,21545,2006-04-09 15:05:00,7,22331,14,2,1,2,15,9,0,1
9253,10.4,51,12361,2006-04-15 15:02:00,8,38620,12,1,0,2,13,12,0,1
9254,13.8,35,40657,2006-04-15 15:05:00,8,62010,5,1,0,4,9,14,0,1
9255,12.5,71,10421,2006-04-15 15:04:00,8,47853,16,1,2,2,17,15,0,1
9256,10.6,87,15138,2006-04-15 15:04:00,8,31997,15,1,3,3,16,1,0,1
9257,15.6,24,39322,2006-04-15 15:34:00,8,41684,10,1,10,2,11,4,0,1
9258,12.4,29,21190,2006-04-15 16:04:00,8,47851,2,1,0,2,2,10,0,1
9259,10.7,36,28885,2006-04-15 19:04:00,8,71624,8,1,0,2,8,0,0,1
9260,11.4,69,11149,2006-04-16 15:05:00,8,26232,6,2,1,2,6,5,0,1
9261,18.2,42,11788,2006-04-16 15:04:00,8,15165,17,2,0,2,3,7,0,1
9262,17.0,44,11810,2006-04-22 14:00:00,9,20223,4,1,1,1,4,6,0,1
9263,15.8,42,15103,2006-04-22 14:03:00,9,21000,0,1,1,2,0,2,0,1
9264,18.3,28,6162,2006-04-22 15:00:00,9,21500,19,1,5,1,5,16,0,1
9265,15.8,48,15184,2006-04-22 15:05:00,9,19470,9,1,0,2,10,3,0,1
9266,16.1,50,12295,2006-04-22 15:04:00,9,20588,13,1,1,2,14,13,0,1
9267,10.1,83,6794,2006-04-22 15:04:00,9,36894,7,1,2,2,7,17,0,1
9268,13.5,60,23406,2006-04-22 19:04:00,9,51697,3,1,1,2,12,9,0,1
9269,18.3,55,14615,2006-04-23 15:04:00,9,15859,1,2,1,2,1,8,0,1
9270,18.1,66,8667,2006-04-23 15:05:00,9,22331,14,2,0,3,15,11,0,1
9271,18.8,53,13450,2006-04-29 15:00:00,10,38620,12,1,1,1,13,15,1,1
9272,16.1,70,54774,2006-04-29 15:04:00,10,62010,5,1,11,3,9,5,1,1
9273,15.8,76,13300,2006-04-29 15:00:00,10,26232,6,1,6,1,6,12,1,1
9274,16.3,78,20232,2006-04-29 15:06:00,10,71624,8,1,1,2,8,7,1,1
9275,17.8,48,20268,2006-04-29 15:02:00,10,47853,16,1,0,2,17,14,1,1
9276,21.6,61,20543,2006-04-29 15:04:00,10,31997,15,1,5,1,16,10,1,1
9277,15.2,70,22188,2006-04-29 19:04:00,10,47851,2,1,1,2,2,4,1,1
9278,21.8,63,14642,2006-04-30 13:04:00,10,15165,17,2,0,4,3,1,0,1
9279,19.3,42,41430,2006-04-30 15:04:00,10,41684,10,2,2,2,11,0,0,1
9280,22.4,31,15427,2006-05-03 14:04:00,11,15859,1,1,0,3,1,2,1,0
9281,15.8,46,22948,2006-05-03 15:04:00,11,38620,12,1,0,2,13,16,1,0
9282,17.8,51,18241,2006-05-03 15:04:00,11,20248,11,1,5,3,12,17,1,0
9283,22.8,27,11221,2006-05-03 15:04:00,11,20588,13,1,0,2,14,11,1,0
9284,17.1,54,11101,2006-05-03 15:00:00,11,22331,14,1,0,1,15,6,1,0
9285,17.3,36,9031,2006-05-03 16:04:00,11,21500,19,1,0,3,5,7,1,0
9286,14.4,48,17438,2006-05-03 16:03:00,11,19470,9,1,0,3,10,9,1,0
9287,14.5,67,25687,2006-05-03 19:04:00,11,43739,18,1,0,2,4,8,1,0
9288,26.9,95,15343,2006-07-12 19:04:00,11,20261,21,2,6,2,0,3,0,0
9289,23.2,45,25128,2006-05-06 15:04:00,12,47851,2,1,0,2,2,5,0,1
9290,22.2,50,32073,2006-05-06 15:04:00,12,71624,8,1,0,2,8,10,0,1
9291,20.0,60,36376,2006-05-06 15:04:00,12,51697,3,1,1,2,3,4,0,1
9292,21.3,68,21874,2006-05-06 15:04:00,12,31997,15,1,3,2,16,14,0,1
9293,16.4,94,12466,2006-05-06 17:06:00,12,36894,7,1,2,2,7,15,0,1
9294,17.3,66,42056,2006-05-06 19:04:00,12,41684,10,1,10,2,11,12,0,1
9295,21.4,42,18193,2006-05-06 19:05:00,12,21000,0,1,4,2,0,1,0,1
9296,19.6,79,56982,2006-05-07 15:04:00,12,62010,5,2,2,2,9,13,0,1
9298,21.4,80,7427,2006-07-19 19:04:00,13,38620,12,1,1,2,13,6,0,0
9299,22.4,83,5806,2006-07-19 19:04:00,13,21500,19,1,1,3,5,3,0,0
9300,21.4,85,15322,2006-07-19 19:04:00,13,19470,9,1,1,2,10,0,0,0
9301,22.3,83,8025,2006-07-19 19:04:00,13,15859,1,1,1,1,1,14,0,0
9302,23.5,76,38592,2006-07-19 19:04:00,13,41684,10,1,0,1,11,9,0,0
9303,22.6,79,10183,2006-07-19 19:02:00,13,20248,11,1,1,2,12,8,0,0
9304,26.5,64,6760,2006-07-19 19:01:00,13,20223,4,1,0,2,4,7,0,0
9305,24.6,79,6806,2006-07-19 19:00:00,13,47853,16,1,1,1,17,16,0,0
9306,23.2,96,12142,2006-07-19 19:04:00,13,22331,14,1,2,2,15,2,0,0
9307,25.1,54,17070,2006-07-22 18:06:00,14,20396,20,1,0,2,2,13,0,1
9308,24.6,87,13432,2006-07-22 18:06:00,14,36894,7,1,0,1,7,10,0,1
9309,24.5,80,7493,2006-07-22 19:00:00,14,21500,19,1,1,1,5,1,0,1
9310,24.4,77,23005,2006-07-22 19:04:00,14,26232,6,1,1,2,6,9,0,1
9311,25.1,75,13524,2006-07-22 19:02:00,14,15165,17,1,1,3,3,17,0,1
9312,26.7,75,17864,2006-07-22 19:05:00,14,21000,0,1,1,2,0,4,0,1
9314,24.8,84,19223,2006-07-23 19:05:00,14,71624,8,2,11,2,8,15,0,1
9315,22.8,98,9005,2006-07-23 19:05:00,14,20588,13,2,2,4,14,12,0,1
9316,28.3,68,16040,2006-07-26 19:04:00,15,21500,19,1,0,3,9,16,0,0
9317,26.8,74,20425,2006-07-26 19:05:00,15,26232,6,1,0,1,6,0,0,0
9318,24.5,73,39278,2006-07-26 19:02:00,15,41684,10,1,0,2,11,13,0,0
9319,25.8,79,12875,2006-07-26 19:04:00,15,15165,17,1,0,2,3,8,0,0
9320,30.4,66,6618,2006-07-26 19:00:00,15,20223,4,1,0,1,4,5,0,0
9321,30.5,74,13225,2006-07-26 19:04:00,15,20588,13,1,0,2,14,10,0,0
9322,28.8,83,8027,2006-07-26 19:05:00,15,47853,16,1,0,2,17,2,0,0
9323,25.0,89,5545,2006-07-26 19:00:00,15,36894,7,1,11,1,7,1,0,0
9324,28.3,78,13655,2006-07-26 19:00:00,15,22331,14,1,0,1,15,12,0,0
9325,29.8,51,7278,2006-07-29 18:04:00,16,15392,22,1,1,3,5,14,0,1
9326,27.7,72,31684,2006-07-29 18:34:00,16,47851,2,1,1,3,2,7,0,1
9327,28.1,62,17000,2006-07-29 18:34:00,16,15859,1,1,1,1,1,9,0,1
9328,24.1,88,14289,2006-07-29 19:05:00,16,38620,12,1,1,2,13,17,0,1
9329,28.0,65,24920,2006-07-29 19:05:00,16,51697,3,1,1,3,12,3,0,1
9330,27.3,75,14621,2006-07-29 19:04:00,16,21000,0,1,0,1,0,15,0,1
9331,29.6,73,20873,2006-07-29 19:04:00,16,31997,15,1,0,1,16,6,0,1
9332,22.8,74,16961,2006-07-30 19:04:00,16,19470,9,2,0,2,10,4,0,1
9333,24.7,59,24032,2006-07-30 19:04:00,16,71624,8,2,1,2,8,11,0,1
9334,27.3,82,10569,2006-08-12 18:00:00,17,36894,7,1,0,1,7,12,0,1
9335,24.1,88,50195,2006-08-12 19:04:00,17,62010,5,1,0,4,9,2,0,1
9336,24.1,81,20144,2006-08-12 19:04:00,17,26232,6,1,1,2,6,8,0,1
9337,27.2,59,41487,2006-08-12 19:00:00,17,41684,10,1,0,1,11,10,0,1
9338,24.9,80,30353,2006-08-12 19:04:00,17,51697,3,1,1,2,3,13,0,1
9339,27.1,73,12454,2006-08-12 19:01:00,17,20223,4,1,1,1,4,1,0,1
9340,27.3,76,16089,2006-08-12 19:04:00,17,20588,13,1,0,3,14,0,0,1
9341,29.4,69,12616,2006-08-12 19:00:00,17,47853,16,1,0,1,17,5,0,1
9342,28.7,75,18205,2006-08-12 19:04:00,17,22331,14,1,0,2,15,16,0,1
9343,27.8,82,34236,2006-08-19 19:04:00,18,38620,12,1,1,2,13,9,0,1
9344,30.4,66,11355,2006-08-19 19:04:00,18,21500,19,1,0,3,5,0,0,1
9345,29.8,83,38611,2006-08-19 19:04:00,18,41684,10,1,0,1,11,6,0,1
9346,27.4,80,15410,2006-08-19 19:04:00,18,20248,11,1,0,2,12,1,0,1
9347,28.4,80,14392,2006-08-19 19:00:00,18,20223,4,1,0,2,4,3,0,1
9348,30.6,66,18609,2006-08-19 19:02:00,18,47853,16,1,1,2,17,8,0,1
9349,24.4,84,10387,2006-08-19 19:00:00,18,22331,14,1,1,1,15,14,0,1
9350,27.9,82,10145,2006-08-20 18:05:00,18,36894,7,2,0,2,7,16,0,1
9351,27.3,89,17261,2006-08-20 19:04:00,18,19470,9,2,0,2,10,2,0,1
9352,27.6,84,34417,2006-08-23 19:04:00,19,62010,5,1,0,3,9,11,0,0
9353,28.6,64,18533,2006-08-23 19:04:00,19,54224,23,1,1,2,2,15,0,0
9354,28.8,67,11306,2006-08-23 19:01:00,19,26232,6,1,1,1,6,4,0,0
9355,27.1,80,11623,2006-08-23 19:05:00,19,15440,24,1,1,2,8,5,0,0
9356,27.3,76,12115,2006-08-23 19:04:00,19,15859,1,1,1,1,1,13,0,0
9357,27.6,81,11992,2006-08-23 19:02:00,19,15165,17,1,1,2,3,10,0,0
9358,27.5,61,11291,2006-08-23 19:04:00,19,20588,13,1,0,2,14,17,0,0
9359,27.4,55,17826,2006-08-23 19:04:00,19,21000,0,1,0,2,0,7,0,0
9360,29.3,70,18864,2006-08-23 19:04:00,19,31997,15,1,0,1,16,12,0,0
9361,25.5,72,9076,2006-08-26 18:03:00,20,15392,22,1,1,2,5,6,0,1
9362,26.0,64,14052,2006-08-26 18:30:00,20,38620,12,1,1,1,13,7,0,1
9363,25.1,75,14227,2006-08-26 18:34:00,20,15859,1,1,2,1,1,3,0,1
9364,27.0,62,40466,2006-08-26 19:04:00,20,41684,10,1,0,2,11,16,0,1
9365,26.8,58,16177,2006-08-26 19:04:00,20,20248,11,1,1,1,12,2,0,1
9366,29.3,69,23386,2006-08-26 19:05:00,20,47853,16,1,1,2,17,9,0,1
9367,26.6,86,17738,2006-08-26 19:00:00,20,22331,14,1,0,2,15,10,0,1
9368,27.0,73,17556,2006-08-27 19:05:00,20,20223,4,2,1,3,4,0,0,1
9369,26.3,89,8886,2006-08-27 19:04:00,20,20588,13,2,1,3,14,8,0,1
9370,24.2,82,11433,2006-08-30 18:30:00,21,19470,9,1,1,1,10,6,0,0
9371,24.4,84,9457,2006-08-30 18:59:00,21,38620,12,1,1,2,13,4,0,0
9372,25.9,68,4873,2006-08-30 19:04:00,21,21500,19,1,1,2,5,15,0,0
9373,26.3,60,21041,2006-08-30 19:04:00,21,54224,23,1,1,3,2,17,0,0
9374,25.1,74,12384,2006-08-30 19:05:00,21,15440,24,1,6,2,8,1,0,0
9375,26.7,83,9249,2006-08-30 19:00:00,21,20248,11,1,1,1,12,14,0,0
9376,26.1,63,13979,2006-08-30 19:03:00,21,21000,0,1,1,2,0,11,0,0
9377,25.4,80,9513,2006-08-30 19:04:00,21,36894,7,1,1,1,7,3,0,0
9378,25.7,90,27843,2006-08-30 19:04:00,21,31997,15,1,3,2,16,9,0,0
9379,29.3,68,22769,2006-09-09 16:04:00,22,71624,8,1,5,2,8,6,0,1
9380,25.6,90,9299,2006-09-09 18:02:00,22,36894,7,1,1,2,7,4,0,1
9381,27.5,79,21382,2006-09-09 18:34:00,22,47851,2,1,1,2,2,1,0,1
9382,26.2,86,13463,2006-09-09 19:04:00,22,19470,9,1,1,2,10,12,0,1
9383,27.0,90,11471,2006-09-09 19:00:00,22,15165,17,1,0,1,3,11,0,1
9384,29.4,64,20463,2006-09-09 19:04:00,22,21000,0,1,0,3,0,17,0,1
9385,25.8,86,26841,2006-09-09 19:04:00,22,31997,15,1,3,1,16,15,0,1
9386,27.3,77,9142,2006-09-10 19:04:00,22,38620,12,2,0,2,13,14,0,1
9387,28.6,75,35059,2006-09-10 19:05:00,22,62010,5,2,0,3,5,9,0,1
9388,26.1,59,8440,2006-09-16 14:04:00,23,20588,13,1,1,3,14,2,0,1
9390,25.3,46,20800,2006-09-16 15:04:00,23,54224,23,1,1,3,12,13,0,1
9391,21.3,76,39123,2006-09-16 19:04:00,23,62010,5,1,1,3,9,7,0,1
9392,24.2,58,9308,2006-09-16 19:00:00,23,20223,4,1,1,1,4,11,0,1
9393,25.0,57,19036,2006-09-16 19:04:00,23,47853,16,1,0,1,17,10,0,1
9394,23.1,88,12519,2006-09-16 19:04:00,23,22331,14,1,6,3,15,8,0,1
9395,21.3,88,15482,2006-09-17 19:04:00,23,26232,6,2,2,2,6,3,0,1
9396,22.3,79,10150,2006-09-17 19:04:00,23,15859,1,2,1,2,1,5,0,1
9397,23.3,58,48378,2006-09-23 15:04:00,24,62010,5,1,0,4,9,12,1,1
9398,23.6,42,21665,2006-09-23 15:05:00,24,71624,8,1,0,2,8,4,1,1
9399,22.9,55,12654,2006-09-23 15:02:00,24,22331,14,1,0,3,15,17,1,1
9400,25.2,43,11218,2006-09-23 15:34:00,24,15165,17,1,10,2,3,16,1,1
9401,25.3,41,10265,2006-09-23 16:00:00,24,36894,7,1,0,1,7,5,1,1
9402,20.3,64,10857,2006-09-23 18:34:00,24,19470,9,1,9,2,10,14,1,1
9403,19.8,57,17544,2006-09-23 19:03:00,24,21000,0,1,0,3,0,6,1,1
9404,23.0,52,17398,2006-09-24 15:04:00,24,38620,12,2,0,2,13,2,0,1
9405,21.4,47,40422,2006-09-24 15:04:00,24,41684,10,2,0,2,11,1,0,1
9406,25.3,49,24136,2006-09-30 15:03:00,25,47851,2,1,0,3,2,11,0,1
9407,24.7,54,12029,2006-09-30 15:04:00,25,26232,6,1,1,2,6,7,0,1
9408,24.3,53,25435,2006-09-30 15:04:00,25,71624,8,1,1,3,8,3,0,1
9409,23.4,49,16492,2006-09-30 17:04:00,25,20588,13,1,0,4,14,9,0,1
9410,21.8,80,10609,2006-09-30 18:31:00,25,19470,9,1,0,1,10,16,0,1
9411,22.3,78,8223,2006-09-30 19:04:00,25,21500,19,1,1,2,5,4,0,1
9412,23.8,45,15186,2006-09-30 19:04:00,25,47853,16,1,0,1,17,13,0,1
9413,19.8,76,15462,2006-10-01 15:04:00,25,15859,1,2,2,2,1,0,0,1
9414,19.5,81,10807,2006-10-01 15:04:00,25,20248,11,2,2,3,12,15,0,1
9415,21.6,68,5237,2006-10-06 19:05:00,26,20588,13,1,0,3,14,5,0,0
9416,23.0,45,48952,2006-10-07 15:04:00,26,62010,5,2,0,3,9,10,0,1
9417,24.0,40,10282,2006-10-07 15:01:00,26,26232,6,2,0,1,6,16,0,1
9418,18.9,45,10222,2006-10-07 18:05:00,26,15859,1,2,0,2,1,7,0,1
9419,16.3,69,35603,2006-10-07 14:04:00,26,41684,10,2,2,2,11,8,0,1
9420,24.4,36,21066,2006-10-07 15:04:00,26,51697,3,2,0,3,3,0,0,1
9421,23.5,40,10840,2006-10-07 14:04:00,26,20223,4,2,0,1,4,2,0,1
9422,20.6,49,7013,2006-10-07 15:04:00,26,15516,25,2,9,2,17,12,0,1
9423,22.8,59,12181,2006-10-07 15:02:00,26,22331,14,2,0,2,15,13,0,1
9424,19.1,46,15315,2006-10-14 15:04:00,27,38620,12,1,0,2,13,10,0,1
9425,17.9,54,14383,2006-10-14 19:04:00,27,26232,6,1,1,2,6,1,0,1
9426,21.6,45,36272,2006-10-14 15:04:00,27,41684,10,1,0,2,11,14,0,1
9427,22.0,46,11490,2006-10-14 15:04:00,27,15165,17,1,1,3,3,5,0,1
9428,23.5,51,9888,2006-10-14 14:02:00,27,20223,4,1,7,2,4,12,0,1
9429,26.3,45,16281,2006-10-14 14:04:00,27,21000,0,1,0,3,0,8,0,1
9430,33.1,26,12843,2006-10-14 14:04:00,27,30684,26,1,0,1,16,17,0,1
9431,21.8,47,17541,2006-10-15 15:04:00,27,21500,19,2,0,2,9,15,0,1
9432,24.4,43,11689,2006-10-15 15:05:00,27,36894,7,2,0,2,7,2,0,1
9433,18.9,65,50134,2006-10-21 16:03:00,28,62010,5,1,0,3,9,6,0,1
9434,20.3,54,12863,2006-10-21 15:04:00,28,19470,9,1,0,1,10,5,0,1
9435,21.3,52,24333,2006-10-21 14:04:00,28,71624,8,1,0,2,8,13,0,1
9436,24.3,42,9747,2006-10-21 13:04:00,28,15859,1,1,0,3,1,4,0,1
9437,21.8,66,13244,2006-10-21 15:04:00,28,20248,11,1,0,2,12,11,0,1
9438,23.1,40,8491,2006-10-21 14:04:00,28,20588,13,1,0,3,14,16,0,1
9439,24.8,37,16445,2006-10-21 15:04:00,28,22331,14,1,0,4,15,3,0,1
9440,21.8,60,36161,2006-10-22 15:04:00,28,47851,2,2,1,3,2,0,0,1
9441,24.8,47,7897,2006-10-22 15:05:00,28,15516,25,2,1,2,17,7,0,1
9442,21.3,51,10074,2006-10-28 14:00:00,29,21500,19,1,1,1,5,2,0,1
9443,22.1,52,10505,2006-10-28 14:04:00,29,26232,6,1,5,2,6,14,0,1
9444,22.5,45,9852,2006-10-28 14:04:00,29,15859,1,1,0,2,1,17,0,1
9445,20.3,48,38203,2006-10-28 14:04:00,29,41684,10,1,0,3,11,15,0,1
9446,22.2,66,16162,2006-10-28 14:05:00,29,15165,17,1,5,3,3,9,0,1
9447,22.9,37,18534,2006-10-28 14:00:00,29,43739,18,1,10,1,4,10,0,1
9448,23.0,55,16162,2006-10-28 14:04:00,29,36894,7,1,0,2,7,8,0,1
9449,22.2,43,19170,2006-10-29 15:04:00,29,21000,0,2,9,2,0,12,0,1
9450,21.1,49,28690,2006-10-29 15:05:00,29,31997,15,2,0,2,16,13,0,1
9451,19.5,66,14663,2006-11-11 15:05:00,30,38620,12,1,8,2,13,0,0,1
9452,14.8,83,52582,2006-11-11 15:04:00,30,62010,5,1,6,3,9,8,0,1
9453,17.6,84,11286,2006-11-11 15:01:00,30,19470,9,1,2,1,10,11,0,1
9455,16.1,90,9079,2006-11-11 15:04:00,30,20248,11,1,2,2,12,5,0,1
9456,15.5,87,5566,2006-11-11 15:04:00,30,20588,13,1,1,4,14,1,0,1
9457,16.8,77,7873,2006-11-11 15:03:00,30,15516,25,1,6,2,17,3,0,1
9458,14.1,80,11505,2006-11-11 15:05:00,30,22331,14,1,6,1,15,7,0,1
9459,15.6,77,19273,2006-11-11 15:05:00,30,31997,15,1,3,2,16,4,0,1
9460,13.7,42,12094,2006-11-18 14:01:00,31,62010,5,1,0,1,5,13,0,1
9461,14.6,38,12871,2006-11-18 14:04:00,31,26232,6,1,1,2,6,15,0,1
9462,14.4,36,20258,2006-11-18 14:05:00,31,71624,8,1,1,2,8,12,0,1
9463,13.4,38,9156,2006-11-18 14:04:00,31,15859,1,1,1,2,1,16,0,1
9464,14.7,52,14406,2006-11-18 14:04:00,31,15165,17,1,1,2,3,2,0,1
9465,13.1,62,32109,2006-11-18 14:04:00,31,43739,18,1,3,4,4,9,0,1
9466,8.4,76,8182,2006-11-18 14:04:00,31,36894,7,1,2,3,7,14,0,1
9467,13.2,53,40393,2006-11-19 15:05:00,31,41684,10,2,4,2,11,17,0,1
9468,12.6,83,16950,2006-11-19 15:05:00,31,21000,0,2,2,2,0,10,0,1
9469,13.1,49,12178,2006-11-23 15:00:00,32,38620,12,1,1,1,13,11,1,0
9470,13.4,48,57781,2006-11-23 15:04:00,32,62010,5,1,1,4,9,1,1,0
9471,14.3,48,12049,2006-11-23 15:01:00,32,19470,9,1,1,1,10,7,1,0
9472,12.3,45,23553,2006-11-23 15:04:00,32,47851,2,1,1,3,2,8,1,0
9473,14.4,60,12172,2006-11-23 15:04:00,32,20248,11,1,1,2,12,6,1,0
9474,12.1,59,13785,2006-11-23 15:04:00,32,20588,13,1,1,3,14,3,1,0
9475,13.3,45,8737,2006-11-23 15:04:00,32,15516,25,1,1,1,17,4,1,0
9476,11.1,84,20187,2006-11-23 15:05:00,32,22331,14,1,2,2,15,0,1,0
9477,13.5,72,15841,2006-11-23 15:00:00,32,31997,15,1,3,1,16,5,1,0
9478,15.9,44,9285,2006-11-26 14:04:00,33,62010,5,1,1,3,5,17,0,1
9479,11.2,58,41528,2006-11-26 14:03:00,33,47851,2,1,8,5+,2,9,0,1
9480,13.4,49,17518,2006-11-26 14:00:00,33,26232,6,1,1,1,6,13,0,1
9481,13.3,46,24895,2006-11-26 14:00:00,33,71624,8,1,1,1,8,16,0,1
9482,9.1,50,15069,2006-11-26 14:03:00,33,15859,1,1,1,2,1,10,0,1
9483,17.1,63,37711,2006-11-26 14:00:00,33,51697,3,1,1,3,3,12,0,1
9484,14.1,66,10707,2006-11-26 14:02:00,33,20223,4,1,4,2,4,15,0,1
9485,14.3,73,16768,2006-11-26 14:05:00,33,21000,0,1,4,2,0,14,0,1
9486,13.8,91,11214,2006-11-26 14:02:00,33,36894,7,1,2,1,7,11,0,1
9487,14.8,40,16433,2006-12-02 14:02:00,34,38620,12,1,0,2,13,3,0,1
9488,15.6,34,62241,2006-12-02 14:04:00,34,62010,5,1,0,3,9,0,0,1
9489,14.8,36,17175,2006-12-02 14:00:00,34,19470,9,1,0,2,10,8,0,1
9490,8.1,72,33993,2006-12-02 14:04:00,34,41684,10,1,2,2,11,5,0,1
9491,14.5,31,13581,2006-12-02 14:04:00,34,20248,11,1,0,3,12,7,0,1
9492,13.3,48,9110,2006-12-02 14:04:00,34,20588,13,1,1,2,14,4,0,1
9493,12.1,72,9278,2006-12-02 14:04:00,34,15516,25,1,6,3,17,6,0,1
