id,home_team_player11,home_team_player10,home_team_player9,home_team_player8,home_team_player7,home_team_player6,home_team_player5,home_team_player4,home_team_player3,home_team_player2,home_team_player1,home_team_score,away_team_score,away_team_player1,away_team_player2,away_team_player3,away_team_player4,away_team_player5,away_team_player6,away_team_player7,away_team_player8,away_team_player9,away_team_player10,away_team_player11
9200,18 巻誠一郎 FW,10 ハース FW,22 羽生直剛 MF,16 山岸智 MF,15 中島浩司 MF,6 阿部勇樹 MF,2 坂本將貴 MF,3 斎藤大輔 DF,5 ストヤノフ DF,24 結城耕造 DF,1 立石智紀 GK,2,2,1 阿部謙作 GK,32 杉山新 DF,15 アライール DF,20 ビジュ DF,4 山本英臣 DF,31 林健太郎 MF,8 倉貫一毅 MF,7 石原克哉 MF,11 宇留野純 FW,16 バレー FW,18 長谷川太郎 FW
9201,10 エジミウソン FW,11 矢野貴章 FW,18 鈴木慎吾 MF,16 寺川能人 MF,15 本間勲 MF,8 シルビーニョ MF,5 梅山修 DF,26 中野洋司 DF,29 喜多靖 DF,17 海本幸治郎 DF,21 野澤洋輔 GK,2,0,1 土肥洋一 GK,25 徳永悠平 DF,5 増嶋竜也 DF,2 茂庭照幸 DF,15 鈴木規郎 DF,19 伊野波雅彦 MF,23 梶山陽平 MF,6 今野泰幸 MF,21 サササルセード FW,9 ルーカス FW,35 リチェーリ FW
9202,17 マルキーニョス FW,18 チョジェジン FW,10 藤本淳吾 MF,16 枝村匠馬 MF,7 伊東輝悦 MF,13 兵働昭弘 MF,3 山西尊裕 DF,4 高木和道 DF,26 青山直晃 DF,25 市川大祐 DF,21 西部洋平 GK,2,0,22 川島永嗣 GK,4 大森征之 DF,5 古賀正紘 DF,29 深津康太 DF,6 有村光史 DF,8 金正友 MF,14 吉村圭司 MF,7 中村直志 MF,27 片山奨典 MF,11 玉田圭司 FW,19 杉本恵太 FW
9203,9 アレックスミネイロ FW,13 柳沢敦 FW,8 小笠原満男 MF,10 本山雅志 MF,26 増田誓志 MF,24 青木剛 MF,7 新井場徹 DF,4 大岩剛 DF,3 岩政大樹 DF,20 内田篤人 DF,1 小澤英明 GK,0,3,1 榎本達也 GK,3 松田直樹 DF,30 栗原勇蔵 DF,22 中澤佑二 DF,17 吉田孝行 MF,6 上野良治 MF,8 マグロン MF,5 ドゥトラ MF,14 奥大介 MF,9 久保竜彦 FW,19 マルケス FW
9204,20 林丈統 FW,10 パウリーニョ FW,8 美尾敦 MF,27 加藤大志 MF,16 斉藤大介 MF,18 米田兼一郎 MF,7 児玉新 DF,2 鈴木悟 DF,3 リカルド DF,4 鈴木和裕 DF,1 平井直人 GK,2,7,21 相澤貴志 GK,5 箕輪義信 DF,13 寺田周平 DF,2 伊藤宏樹 DF,19 森勇介 MF,14 中村憲剛 MF,29 谷口博之 MF,6 マルコン MF,11 マルクス MF,9 我那覇和樹 FW,10 ジュニーニョ FW
9205,27 田中佑昌 FW,9 薮田光教 FW,14 古賀誠史 MF,8 ホベルト MF,6 布部陽功 MF,7 宮崎光平 MF,3 アレックス DF,5 千代反田充 DF,4 金古聖司 DF,22 中村北斗 DF,1 水谷雄一 GK,1,1,20 荒谷弘樹 GK,22 波戸康広 DF,5 冨田大介 DF,2 奥野誠一郎 DF,17 土屋征夫 DF,4 トニーニョ MF,15 斉藤雅人 MF,32 小林慶行 MF,8 小林大悟 MF,16 久永辰徳 MF,10 マルティネス FW
9206,9 オズマール FW,13 高松大樹 FW,7 西山哲平 MF,17 根本裕一 MF,5 エジミウソン MF,11 トゥーリオ MF,6 梅田高志 MF,31 福元洋平 DF,22 上本大海 DF,2 三木隆司 DF,1 西川周作 GK,1,1,1 下田崇 GK,5 駒野友一 DF,4 ジニーニョ DF,3 小村徳男 DF,17 服部公太 DF,16 李漢宰 MF,14 戸田和幸 MF,8 森﨑和幸 MF,6 ベット MF,10 ウェズレイ FW,11 佐藤寿人 FW
9207,9 古橋達弥 FW,20 西澤明訓 FW,8 森島寛晃 FW,6 ゼカルロス MF,10 ピンゴ MF,23 下村東美 MF,4 河村崇大 MF,3 柳本啓成 DF,5 前田和哉 DF,2 ブルーノクアドロス DF,22 吉田宗弘 GK,1,6,1 松代直樹 GK,21 加地亮 DF,2 シジクレイ DF,6 山口智 DF,14 家長昭博 DF,17 明神智和 MF,27 橋本英郎 MF,7 遠藤保仁 MF,10 二川孝広 MF,8 フェルナンジーニョ FW,9 マグノアウベス FW
9208,11 阿部吉朗 FW,21 サササルセード FW,9 ルーカス FW,23 梶山陽平 MF,6 今野泰幸 MF,19 伊野波雅彦 MF,15 鈴木規郎 DF,2 茂庭照幸 DF,3 ジャーン DF,25 徳永悠平 DF,1 土肥洋一 GK,0,1,21 西部洋平 GK,25 市川大祐 DF,26 青山直晃 DF,4 高木和道 DF,3 山西尊裕 DF,13 兵働昭弘 MF,7 伊東輝悦 MF,16 枝村匠馬 MF,10 藤本淳吾 MF,18 チョジェジン FW,17 マルキーニョス FW
9209,22 カレンロバート FW,7 名波浩 MF,14 村井慎二 MF,23 福西崇史 MF,25 ファブリシオ MF,11 西紀寛 MF,6 服部年宏 DF,20 金珍圭 DF,8 菊地直哉 DF,2 鈴木秀人 DF,1 川口能活 GK,1,1,1 平井直人 GK,23 大久保裕樹 DF,3 リカルド DF,2 鈴木悟 DF,7 児玉新 DF,16 斉藤大介 MF,18 米田兼一郎 MF,11 星大輔 MF,8 美尾敦 MF,31 田原豊 FW,10 パウリーニョ FW
9210,11 佐藤寿人 FW,10 ウェズレイ FW,6 ベット MF,8 森﨑和幸 MF,14 戸田和幸 MF,16 李漢宰 MF,17 服部公太 DF,3 小村徳男 DF,4 ジニーニョ DF,5 駒野友一 DF,1 下田崇 GK,1,4,23 都築龍太 GK,2 坪井慶介 DF,4 田中マルクス闘莉王 DF,20 堀之内聖 DF,6 山田暢久 MF,17 長谷部誠 MF,13 鈴木啓太 MF,8 三都主アレサンドロ MF,18 小野伸二 MF,10 ポンテ FW,21 ワシントン FW
9211,27 若林学 FW,10 マルティネス FW,16 久永辰徳 MF,8 小林大悟 MF,32 小林慶行 MF,6 ディビッドソン純マーカス MF,17 土屋征夫 DF,2 奥野誠一郎 DF,4 トニーニョ DF,22 波戸康広 DF,20 荒谷弘樹 GK,1,2,21 野澤洋輔 GK,17 海本幸治郎 DF,19 海本慶治 DF,26 中野洋司 DF,29 喜多靖 DF,15 本間勲 MF,8 シルビーニョ MF,16 寺川能人 MF,18 鈴木慎吾 MF,10 エジミウソン FW,11 矢野貴章 FW
9212,18 長谷川太郎 FW,16 バレー FW,11 宇留野純 FW,7 石原克哉 MF,8 倉貫一毅 MF,31 林健太郎 MF,4 山本英臣 DF,2 秋本倫孝 DF,15 アライール DF,32 杉山新 DF,1 阿部謙作 GK,1,0,21 相澤貴志 GK,5 箕輪義信 DF,13 寺田周平 DF,2 伊藤宏樹 DF,19 森勇介 MF,14 中村憲剛 MF,29 谷口博之 MF,6 マルコン MF,11 マルクス MF,9 我那覇和樹 FW,10 ジュニーニョ FW
9213,19 杉本恵太 FW,11 玉田圭司 FW,24 本田圭佑 MF,7 中村直志 MF,14 吉村圭司 MF,8 金正友 MF,31 阿部翔平 DF,5 古賀正紘 DF,2 秋田豊 DF,4 大森征之 DF,22 川島永嗣 GK,0,0,1 小澤英明 GK,20 内田篤人 DF,3 岩政大樹 DF,4 大岩剛 DF,7 新井場徹 DF,24 青木剛 MF,26 増田誓志 MF,8 小笠原満男 MF,10 本山雅志 MF,13 柳沢敦 FW,9 アレックスミネイロ FW
9214,18 巻誠一郎 FW,22 羽生直剛 MF,9 クルプニコビッチ MF,8 水野晃樹 MF,16 山岸智 MF,7 佐藤勇人 MF,6 阿部勇樹 MF,2 坂本將貴 MF,5 ストヤノフ DF,3 斎藤大輔 DF,1 立石智紀 GK,2,2,1 水谷雄一 GK,22 中村北斗 DF,5 千代反田充 DF,4 金古聖司 DF,3 アレックス DF,10 久藤清一 MF,6 布部陽功 MF,8 ホベルト MF,7 宮崎光平 MF,9 薮田光教 FW,36 グラウシオ FW
9215,19 マルケス FW,9 久保竜彦 FW,14 奥大介 MF,5 ドゥトラ MF,8 マグロン MF,6 上野良治 MF,17 吉田孝行 MF,22 中澤佑二 DF,30 栗原勇蔵 DF,3 松田直樹 DF,1 榎本達也 GK,3,1,22 吉田宗弘 GK,2 ブルーノクアドロス DF,5 前田和哉 DF,26 藤本康太 DF,10 ピンゴ MF,23 下村東美 MF,7 山田卓也 MF,6 ゼカルロス MF,8 森島寛晃 FW,20 西澤明訓 FW,9 古橋達弥 FW
9216,9 マグノアウベス FW,8 フェルナンジーニョ FW,10 二川孝広 MF,7 遠藤保仁 MF,27 橋本英郎 MF,17 明神智和 MF,14 家長昭博 DF,6 山口智 DF,2 シジクレイ DF,21 加地亮 DF,1 松代直樹 GK,1,3,1 西川周作 GK,2 三木隆司 DF,22 上本大海 DF,31 福元洋平 DF,6 梅田高志 MF,11 トゥーリオ MF,5 エジミウソン MF,7 西山哲平 MF,17 根本裕一 MF,13 高松大樹 FW,9 オズマール FW
9217,9 アレックスミネイロ FW,13 柳沢敦 FW,10 本山雅志 MF,8 小笠原満男 MF,26 増田誓志 MF,24 青木剛 MF,7 新井場徹 DF,4 大岩剛 DF,3 岩政大樹 DF,20 内田篤人 DF,1 小澤英明 GK,3,1,1 阿部謙作 GK,32 杉山新 DF,15 アライール DF,2 秋本倫孝 DF,4 山本英臣 DF,31 林健太郎 MF,8 倉貫一毅 MF,10 藤田健 MF,7 石原克哉 FW,16 バレー FW,18 長谷川太郎 FW
9218,11 山形恭平 FW,9 薮田光教 FW,7 宮崎光平 MF,22 中村北斗 MF,8 ホベルト MF,10 久藤清一 MF,3 アレックス DF,5 千代反田充 DF,4 金古聖司 DF,2 宮本亨 DF,1 水谷雄一 GK,0,1,22 川島永嗣 GK,4 大森征之 DF,2 秋田豊 DF,5 古賀正紘 DF,24 本田圭佑 DF,14 吉村圭司 MF,25 須藤右介 MF,7 中村直志 MF,31 阿部翔平 MF,11 玉田圭司 FW,23 豊田陽平 FW
9219,21 ワシントン FW,10 ポンテ FW,18 小野伸二 MF,8 三都主アレサンドロ MF,13 鈴木啓太 MF,17 長谷部誠 MF,6 山田暢久 MF,20 堀之内聖 DF,4 田中マルクス闘莉王 DF,2 坪井慶介 DF,23 都築龍太 GK,3,0,22 吉田宗弘 GK,2 ブルーノクアドロス DF,5 前田和哉 DF,26 藤本康太 DF,10 ピンゴ MF,23 下村東美 MF,4 河村崇大 MF,6 ゼカルロス MF,8 森島寛晃 FW,20 西澤明訓 FW,9 古橋達弥 FW
9220,11 矢野貴章 FW,10 エジミウソン FW,18 鈴木慎吾 MF,16 寺川能人 MF,8 シルビーニョ MF,15 本間勲 MF,29 喜多靖 DF,26 中野洋司 DF,19 海本慶治 DF,17 海本幸治郎 DF,21 野澤洋輔 GK,0,2,1 川口能活 GK,2 鈴木秀人 DF,8 菊地直哉 DF,20 金珍圭 DF,6 服部年宏 DF,11 西紀寛 MF,23 福西崇史 MF,25 ファブリシオ MF,14 村井慎二 MF,10 成岡翔 MF,22 カレンロバート FW
9221,17 マルキーニョス FW,18 チョジェジン FW,10 藤本淳吾 MF,6 杉山浩太 MF,7 伊東輝悦 MF,13 兵働昭弘 MF,3 山西尊裕 DF,4 高木和道 DF,26 青山直晃 DF,25 市川大祐 DF,21 西部洋平 GK,1,2,1 立石智紀 GK,3 斎藤大輔 DF,5 ストヤノフ DF,24 結城耕造 DF,2 坂本將貴 MF,6 阿部勇樹 MF,7 佐藤勇人 MF,16 山岸智 MF,9 クルプニコビッチ MF,10 ハース FW,18 巻誠一郎 FW
9222,9 オズマール FW,13 高松大樹 FW,17 根本裕一 MF,5 エジミウソン MF,11 トゥーリオ MF,7 西山哲平 MF,6 梅田高志 MF,31 福元洋平 DF,4 深谷友基 DF,3 柴小屋雄一 DF,1 西川周作 GK,1,2,1 榎本達也 GK,3 松田直樹 DF,30 栗原勇蔵 DF,22 中澤佑二 DF,17 吉田孝行 MF,6 上野良治 MF,8 マグロン MF,5 ドゥトラ MF,18 清水範久 MF,15 大島秀夫 FW,19 マルケス FW
9223,10 ジュニーニョ FW,9 我那覇和樹 FW,11 マルクス MF,19 森勇介 MF,29 谷口博之 MF,14 中村憲剛 MF,4 井川祐輔 MF,2 伊藤宏樹 DF,13 寺田周平 DF,5 箕輪義信 DF,21 相澤貴志 GK,2,2,1 土肥洋一 GK,25 徳永悠平 DF,3 ジャーン DF,2 茂庭照幸 DF,15 鈴木規郎 DF,19 伊野波雅彦 MF,6 今野泰幸 MF,16 宮沢正史 MF,14 馬場憂太 MF,35 リチェーリ FW,9 ルーカス FW
9224,31 田原豊 FW,10 パウリーニョ FW,8 美尾敦 MF,11 星大輔 MF,16 斉藤大介 MF,18 米田兼一郎 MF,7 児玉新 DF,2 鈴木悟 DF,3 リカルド DF,23 大久保裕樹 DF,1 平井直人 GK,2,2,1 下田崇 GK,5 駒野友一 DF,18 吉弘充志 DF,3 小村徳男 DF,17 服部公太 DF,16 李漢宰 MF,14 戸田和幸 MF,6 ベット MF,20 大木勉 MF,9 上野優作 FW,11 佐藤寿人 FW
9225,9 マグノアウベス FW,8 フェルナンジーニョ FW,10 二川孝広 MF,14 家長昭博 MF,27 橋本英郎 MF,17 明神智和 MF,20 寺田紳一 MF,6 山口智 DF,2 シジクレイ DF,15 青木良太 DF,22 藤ヶ谷陽介 GK,3,1,20 荒谷弘樹 GK,22 波戸康広 DF,4 トニーニョ DF,2 奥野誠一郎 DF,17 土屋征夫 DF,6 ディビッドソン純マーカス MF,19 片岡洋介 MF,8 小林大悟 MF,11 藤本主税 MF,14 森田浩史 FW,30 桜井直人 FW
9226,27 若林学 FW,8 小林大悟 FW,11 藤本主税 MF,16 久永辰徳 MF,19 片岡洋介 MF,6 ディビッドソン純マーカス MF,17 土屋征夫 DF,2 奥野誠一郎 DF,4 トニーニョ DF,22 波戸康広 DF,20 荒谷弘樹 GK,1,0,21 西部洋平 GK,25 市川大祐 DF,26 青山直晃 DF,4 高木和道 DF,3 山西尊裕 DF,14 高木純平 MF,7 伊東輝悦 MF,16 枝村匠馬 MF,10 藤本淳吾 MF,18 チョジェジン FW,15 久保山由清 FW
9227,22 カレンロバート FW,7 名波浩 MF,14 村井慎二 MF,25 ファブリシオ MF,23 福西崇史 MF,11 西紀寛 MF,6 服部年宏 DF,20 金珍圭 DF,8 菊地直哉 DF,2 鈴木秀人 DF,1 川口能活 GK,1,2,21 相澤貴志 GK,5 箕輪義信 DF,13 寺田周平 DF,2 伊藤宏樹 DF,19 森勇介 MF,14 中村憲剛 MF,29 谷口博之 MF,6 マルコン MF,11 マルクス MF,24 黒津勝 FW,10 ジュニーニョ FW
9228,9 古橋達弥 FW,20 西澤明訓 FW,8 森島寛晃 FW,6 ゼカルロス MF,17 酒本憲幸 MF,23 下村東美 MF,10 ピンゴ MF,3 柳本啓成 DF,5 前田和哉 DF,2 ブルーノクアドロス DF,22 吉田宗弘 GK,3,1,21 野澤洋輔 GK,17 海本幸治郎 DF,19 海本慶治 DF,29 喜多靖 DF,5 梅山修 DF,8 シルビーニョ MF,15 本間勲 MF,16 寺川能人 MF,18 鈴木慎吾 MF,10 エジミウソン FW,11 矢野貴章 FW
9229,11 佐藤寿人 FW,9 上野優作 FW,20 大木勉 MF,17 服部公太 MF,14 戸田和幸 MF,6 ベット MF,5 駒野友一 MF,18 吉弘充志 DF,3 小村徳男 DF,22 西河翔吾 DF,21 木寺浩一 GK,1,3,22 藤ヶ谷陽介 GK,21 加地亮 DF,2 シジクレイ DF,5 宮本恒靖 DF,6 山口智 DF,17 明神智和 MF,27 橋本英郎 MF,7 遠藤保仁 MF,14 家長昭博 MF,8 フェルナンジーニョ FW,9 マグノアウベス FW
9230,19 マルケス FW,9 久保竜彦 FW,14 奥大介 MF,5 ドゥトラ MF,8 マグロン MF,6 上野良治 MF,17 吉田孝行 MF,22 中澤佑二 DF,30 栗原勇蔵 DF,3 松田直樹 DF,1 榎本達也 GK,1,3,23 都築龍太 GK,2 坪井慶介 DF,4 田中マルクス闘莉王 DF,20 堀之内聖 DF,6 山田暢久 MF,17 長谷部誠 MF,13 鈴木啓太 MF,8 三都主アレサンドロ MF,18 小野伸二 MF,10 ポンテ FW,21 ワシントン FW
9231,18 長谷川太郎 FW,16 バレー FW,24 大西容平 FW,7 石原克哉 MF,8 倉貫一毅 MF,31 林健太郎 MF,27 松田勉 DF,2 秋本倫孝 DF,20 ビジュ DF,4 山本英臣 DF,1 阿部謙作 GK,1,1,1 水谷雄一 GK,22 中村北斗 DF,4 金古聖司 DF,5 千代反田充 DF,3 アレックス DF,11 山形恭平 MF,8 ホベルト MF,13 松下裕樹 MF,7 宮崎光平 MF,9 薮田光教 FW,18 有光亮太 FW
9232,18 巻誠一郎 FW,10 ハース FW,9 クルプニコビッチ MF,16 山岸智 MF,7 佐藤勇人 MF,6 阿部勇樹 MF,2 坂本將貴 MF,24 結城耕造 DF,5 ストヤノフ DF,3 斎藤大輔 DF,1 立石智紀 GK,0,1,1 小澤英明 GK,20 内田篤人 DF,3 岩政大樹 DF,4 大岩剛 DF,7 新井場徹 DF,6 本田泰人 MF,26 増田誓志 MF,8 小笠原満男 MF,10 本山雅志 MF,9 アレックスミネイロ FW,13 柳沢敦 FW
9233,23 豊田陽平 FW,11 玉田圭司 FW,31 阿部翔平 MF,7 中村直志 MF,14 吉村圭司 MF,8 金正友 MF,24 本田圭佑 DF,5 古賀正紘 DF,2 秋田豊 DF,4 大森征之 DF,22 川島永嗣 GK,0,3,1 西川周作 GK,2 三木隆司 DF,4 深谷友基 DF,31 福元洋平 DF,6 梅田高志 MF,7 西山哲平 MF,11 トゥーリオ MF,5 エジミウソン MF,17 根本裕一 MF,9 オズマール FW,13 高松大樹 FW
9234,20 川口信男 FW,9 ルーカス FW,14 馬場憂太 MF,6 今野泰幸 MF,23 梶山陽平 MF,19 伊野波雅彦 MF,15 鈴木規郎 DF,3 ジャーン DF,2 茂庭照幸 DF,25 徳永悠平 DF,1 土肥洋一 GK,2,1,1 平井直人 GK,23 大久保裕樹 DF,3 リカルド DF,2 鈴木悟 DF,7 児玉新 DF,18 米田兼一郎 MF,16 斉藤大介 MF,11 星大輔 MF,8 美尾敦 MF,9 アレモン FW,10 パウリーニョ FW
9235,19 マルケス FW,15 大島秀夫 FW,18 清水範久 MF,5 ドゥトラ MF,8 マグロン MF,6 上野良治 MF,7 田中隼磨 MF,35 河合竜二 DF,30 栗原勇蔵 DF,3 松田直樹 DF,1 榎本達也 GK,1,1,1 土肥洋一 GK,25 徳永悠平 DF,5 増嶋竜也 DF,2 茂庭照幸 DF,15 鈴木規郎 DF,19 伊野波雅彦 MF,23 梶山陽平 MF,6 今野泰幸 MF,27 栗澤僚一 MF,9 ルーカス FW,20 川口信男 FW
9236,9 古橋達弥 FW,20 西澤明訓 FW,8 森島寛晃 FW,6 ゼカルロス MF,17 酒本憲幸 MF,23 下村東美 MF,10 ピンゴ MF,3 柳本啓成 DF,5 前田和哉 DF,2 ブルーノクアドロス DF,22 吉田宗弘 GK,2,3,1 阿部謙作 GK,32 杉山新 DF,20 ビジュ DF,2 秋本倫孝 DF,4 山本英臣 DF,31 林健太郎 MF,8 倉貫一毅 MF,7 石原克哉 MF,11 宇留野純 FW,16 バレー FW,18 長谷川太郎 FW
9237,18 チョジェジン FW,9 矢島卓郎 FW,10 藤本淳吾 MF,7 伊東輝悦 MF,16 枝村匠馬 MF,13 兵働昭弘 MF,3 山西尊裕 DF,4 高木和道 DF,26 青山直晃 DF,11 森岡隆三 DF,21 西部洋平 GK,2,3,22 藤ヶ谷陽介 GK,15 青木良太 DF,2 シジクレイ DF,6 山口智 DF,16 前田雅文 MF,24 松下年宏 MF,27 橋本英郎 MF,14 家長昭博 MF,10 二川孝広 MF,8 フェルナンジーニョ FW,9 マグノアウベス FW
9238,10 パウリーニョ FW,9 アレモン FW,20 林丈統 FW,8 美尾敦 MF,14 中払大介 MF,16 斉藤大介 MF,7 児玉新 DF,5 鷲田雅一 DF,3 リカルド DF,23 大久保裕樹 DF,1 平井直人 GK,2,1,1 水谷雄一 GK,21 山形辰徳 DF,4 金古聖司 DF,5 千代反田充 DF,3 アレックス DF,22 中村北斗 MF,8 ホベルト MF,13 松下裕樹 MF,10 久藤清一 MF,9 薮田光教 FW,27 田中佑昌 FW
9239,9 アレックスミネイロ FW,11 深井正樹 FW,10 本山雅志 MF,8 小笠原満男 MF,26 増田誓志 MF,24 青木剛 MF,7 新井場徹 DF,4 大岩剛 DF,3 岩政大樹 DF,20 内田篤人 DF,1 小澤英明 GK,2,1,20 荒谷弘樹 GK,22 波戸康広 DF,4 トニーニョ DF,5 冨田大介 DF,17 土屋征夫 DF,6 ディビッドソン純マーカス MF,19 片岡洋介 MF,16 久永辰徳 MF,8 小林大悟 MF,11 藤本主税 MF,9 吉原宏太 FW
9240,10 ジュニーニョ FW,9 我那覇和樹 FW,11 マルクス MF,19 森勇介 MF,29 谷口博之 MF,14 中村憲剛 MF,20 長橋康弘 MF,2 伊藤宏樹 DF,13 寺田周平 DF,5 箕輪義信 DF,21 相澤貴志 GK,2,2,1 立石智紀 GK,3 斎藤大輔 DF,5 ストヤノフ DF,24 結城耕造 DF,8 水野晃樹 MF,2 坂本將貴 MF,6 阿部勇樹 MF,7 佐藤勇人 MF,16 山岸智 MF,22 羽生直剛 MF,18 巻誠一郎 FW
9241,11 矢野貴章 FW,14 中原貴之 FW,18 鈴木慎吾 MF,32 田中亜土夢 MF,8 シルビーニョ MF,16 寺川能人 MF,5 梅山修 DF,26 中野洋司 DF,19 海本慶治 DF,2 三田光 DF,21 野澤洋輔 GK,1,1,1 下田崇 GK,5 駒野友一 DF,4 ジニーニョ DF,18 吉弘充志 DF,17 服部公太 DF,16 李漢宰 MF,14 戸田和幸 MF,8 森﨑和幸 MF,6 ベット MF,10 ウェズレイ FW,11 佐藤寿人 FW
