id,round,home_team,away_team,weather,temperature,humidity,broadcasters,attendance,match_datetime,section_encoded,venue_capacity,venue_encoded
9232,第1日,千葉,鹿島,晴,9.9,63,BS/J SPORTS(録),16546,2006-03-25 19:04:00,5,19470,9
9233,第2日,名古屋,大分,晴,15.9,44,BS-i/中京テレビ(録)/J SPORTS(録),11878,2006-03-26 14:05:00,5,20223,4
9234,第2日,FC東京,京都,曇,16.1,38,BS/KBS京都(録)/J SPORTS(録),17033,2006-03-26 16:04:00,5,47851,2
9235,第1日,横浜FM,FC東京,晴,13.8,46,スカイパーフェクTV!/J SPORTS(録),20977,2006-04-01 15:02:00,6,71624,8
9236,第1日,C大阪,甲府,曇,13.1,33,NHK甲府/BS/J SPORTS(録),6282,2006-04-01 15:04:00,6,47853,16
9237,第1日,清水,G大阪,曇,10.0,64,BS/J SPORTS(録),10661,2006-04-01 19:04:00,6,20248,11
9238,第2日,京都,福岡,雨,16.0,85,BS-i/KBS京都(録)/J SPORTS(録),3670,2006-04-02 14:04:00,6,20588,13
9239,第2日,鹿島,大宮,曇のち雨,16.9,69,J SPORTS,11747,2006-04-02 15:04:00,6,38620,12
9240,第2日,川崎F,千葉,雨,15.6,83,J SPORTS(録),10316,2006-04-02 15:00:00,6,26232,6
9241,第2日,新潟,広島,雨,10.5,71,NHK新潟/J SPORTS(録),34071,2006-04-02 15:04:00,6,41684,10
9242,第2日,大分,磐田,屋内,21.2,29,BS/J SPORTS(録),17406,2006-04-02 15:04:00,6,31997,15
9243,第2日,浦和,名古屋,曇のち雨,15.9,79,テレビ埼玉/BS-i/J SPORTS(録),44625,2006-04-02 16:04:00,6,62010,5
9244,第1日,甲府,新潟,曇,7.9,45,山梨放送/テレビ信州/テレビ新潟/J SPORTS(録),14599,2006-04-08 14:00:00,7,20396,20
9245,第1日,大宮,横浜FM,晴,17.4,28,BS-i/J SPORTS(録),8370,2006-04-08 15:05:00,7,21500,19
9246,第1日,千葉,C大阪,晴一時雨,14.8,53,スカイパーフェクTV!/J SPORTS(録),8770,2006-04-08 15:02:00,7,19470,9
9247,第1日,名古屋,京都,屋内,13.9,37,BS/KBS京都(録)/J SPORTS(録),15311,2006-04-08 15:04:00,7,43739,18
9248,第1日,広島,川崎F,晴,19.1,17,J SPORTS,7418,2006-04-08 15:04:00,7,36894,7
9249,第1日,FC東京,磐田,晴,15.5,25,NHK総合/J SPORTS(録),24214,2006-04-08 16:03:00,7,47851,2
9250,第1日,G大阪,鹿島,曇,12.9,31,BS/J SPORTS(録),17967,2006-04-08 19:04:00,7,21000,0
9251,第2日,清水,大分,晴,18.6,37,静岡放送/BS-i/J SPORTS(録),10039,2006-04-09 13:04:00,7,20248,11
9252,第2日,福岡,浦和,曇,20.3,28,BS/J SPORTS(録),21545,2006-04-09 15:05:00,7,22331,14
9253,第1日,鹿島,清水,晴,10.4,51,スカイパーフェクTV!/J SPORTS(録),12361,2006-04-15 15:02:00,8,38620,12
9254,第1日,浦和,京都,晴,13.8,35,BS-i/テレビ埼玉(録)/KBS京都(録)/J SPORTS(録),40657,2006-04-15 15:05:00,8,62010,5
9255,第1日,C大阪,福岡,雨,12.5,71,BS/J SPORTS(録),10421,2006-04-15 15:04:00,8,47853,16
9256,第1日,大分,甲府,屋内,10.6,87,NHK大分/NHK甲府/J SPORTS(録),15138,2006-04-15 15:04:00,8,31997,15
9257,第1日,新潟,名古屋,晴時々曇,15.6,24,新潟総合テレビ/J SPORTS(録),39322,2006-04-15 15:34:00,8,41684,10
9258,第1日,FC東京,千葉,晴,12.4,29,MXテレビ/J SPORTS,21190,2006-04-15 16:04:00,8,47851,2
9259,第1日,横浜FM,G大阪,晴,10.7,36,BS/J SPORTS(録),28885,2006-04-15 19:04:00,8,71624,8
9260,第2日,川崎F,大宮,曇,11.4,69,BS-i(録)/J SPORTS(録),11149,2006-04-16 15:05:00,8,26232,6
9261,第2日,磐田,広島,晴,18.2,42,BS/J SPORTS(録),11788,2006-04-16 15:04:00,8,15165,17
9262,第1日,名古屋,川崎F,曇,17.0,44,J SPORTS(録),11810,2006-04-22 14:00:00,9,20223,4
9263,第1日,G大阪,FC東京,曇,15.8,42,スカイパーフェクTV!/J SPORTS(録),15103,2006-04-22 14:03:00,9,21000,0
9264,第1日,大宮,大分,晴のち曇,18.3,28,J SPORTS(録),6162,2006-04-22 15:00:00,9,21500,19
9265,第1日,千葉,磐田,晴,15.8,48,BS-i/J SPORTS(録),15184,2006-04-22 15:05:00,9,19470,9
9266,第1日,京都,鹿島,曇,16.1,50,J SPORTS/KBS京都(録),12295,2006-04-22 15:04:00,9,20588,13
9267,第1日,広島,C大阪,雨,10.1,83,BS/J SPORTS(録),6794,2006-04-22 15:04:00,9,36894,7
9268,第1日,清水,浦和,曇,13.5,60,BS/J SPORTS(録),23406,2006-04-22 19:04:00,9,51697,3
9269,第2日,甲府,横浜FM,曇,18.3,55,BS/J SPORTS(録),14615,2006-04-23 15:04:00,9,15859,1
9270,第2日,福岡,新潟,晴,18.1,66,BS-i/RKB毎日放送(録)/J SPORTS(録),8667,2006-04-23 15:05:00,9,22331,14
9271,第1日,鹿島,福岡,曇,18.8,53,J SPORTS(録),13450,2006-04-29 15:00:00,10,38620,12
9272,第1日,浦和,大宮,曇一時雨,16.1,70,BS/テレビ埼玉(録)/J SPORTS(録),54774,2006-04-29 15:04:00,10,62010,5
9273,第1日,川崎F,清水,雨のち曇,15.8,76,J SPORTS(録),13300,2006-04-29 15:00:00,10,26232,6
9274,第1日,横浜FM,広島,曇,16.3,78,BS-i/J SPORTS(録),20232,2006-04-29 15:06:00,10,71624,8
9275,第1日,C大阪,京都,晴,17.8,48,スカイパーフェクTV!/J SPORTS(録),20268,2006-04-29 15:02:00,10,47853,16
9276,第1日,大分,千葉,晴のち曇,21.6,61,J SPORTS,20543,2006-04-29 15:04:00,10,31997,15
9277,第1日,FC東京,名古屋,曇,15.2,70,BS/J SPORTS(録),22188,2006-04-29 19:04:00,10,47851,2
9278,第2日,磐田,甲府,晴,21.8,63,静岡放送/テレビ山梨/BS-i/J SPORTS(録),14642,2006-04-30 13:04:00,10,15165,17
9279,第2日,新潟,G大阪,雨,19.3,42,BS/J SPORTS(録),41430,2006-04-30 15:04:00,10,41684,10
9280,第1日,甲府,FC東京,晴,22.4,31,NHK甲府/BS-i/J SPORTS(録),15427,2006-05-03 14:04:00,11,15859,1
9281,第1日,鹿島,大分,晴,15.8,46,BS/J SPORTS(録),22948,2006-05-03 15:04:00,11,38620,12
9282,第1日,清水,C大阪,晴のち曇,17.8,51,テレビ静岡/スカイパーフェクTV!/J SPORTS(録),18241,2006-05-03 15:04:00,11,20248,11
9283,第1日,京都,新潟,晴,22.8,27,KBS京都/J SPORTS,11221,2006-05-03 15:04:00,11,20588,13
9284,第1日,福岡,川崎F,晴,17.1,54,J SPORTS(録),11101,2006-05-03 15:00:00,11,22331,14
9285,第1日,大宮,広島,晴,17.3,36,テレビ埼玉/BS-i/J SPORTS(録),9031,2006-05-03 16:04:00,11,21500,19
9286,第1日,千葉,浦和,晴,14.4,48,NHK総合/BS/J SPORTS(録),17438,2006-05-03 16:03:00,11,19470,9
9287,第1日,名古屋,横浜FM,晴,14.5,67,BS/J SPORTS(録),25687,2006-05-03 19:04:00,11,43739,18
9288,第2日,G大阪,磐田,雨のち曇,26.9,95,BS/J SPORTS(録),15343,2006-07-12 19:04:00,11,20261,21
9289,第1日,FC東京,大宮,晴,23.2,45,BS/J SPORTS(録),25128,2006-05-06 15:04:00,12,47851,2
9290,第1日,横浜FM,千葉,晴,22.2,50,TBS(単)/J SPORTS(録),32073,2006-05-06 15:04:00,12,71624,8
9291,第1日,磐田,名古屋,曇,20.0,60,NHK静岡/J SPORTS,36376,2006-05-06 15:04:00,12,51697,3
9292,第1日,大分,京都,屋内,21.3,68,スカイパーフェクTV!/J SPORTS(録),21874,2006-05-06 15:04:00,12,31997,15
9293,第1日,広島,福岡,雨,16.4,94,BS-i/J SPORTS(録),12466,2006-05-06 17:06:00,12,36894,7
9294,第1日,新潟,清水,晴時々曇,17.3,66,BS/J SPORTS(録),42056,2006-05-06 19:04:00,12,41684,10
9295,第1日,G大阪,甲府,曇のち雨,21.4,42,BS-i/J SPORTS(録),18193,2006-05-06 19:05:00,12,21000,0
9296,第2日,浦和,鹿島,雨,19.6,79,TBS(単)/J SPORTS(録),56982,2006-05-07 15:04:00,12,62010,5
9297,第2日,川崎F,C大阪,雨一時曇,18.9,82,BS/J SPORTS(録),9430,2006-05-07 15:05:00,12,26232,6
9298,第1日,鹿島,川崎F,曇,21.4,80,BS-i/J SPORTS(録),7427,2006-07-19 19:04:00,13,38620,12
9299,第1日,大宮,磐田,曇,22.4,83,テレ玉/BS-i(録)/J SPORTS(録),5806,2006-07-19 19:04:00,13,21500,19
9300,第1日,千葉,G大阪,曇,21.4,85,BS/J SPORTS(録),15322,2006-07-19 19:04:00,13,19470,9
9301,第1日,甲府,京都,曇,22.3,83,J SPORTS(録),8025,2006-07-19 19:04:00,13,15859,1
9302,第1日,新潟,浦和,晴,23.5,76,J SPORTS,38592,2006-07-19 19:04:00,13,41684,10
9303,第1日,清水,横浜FM,曇,22.6,79,スカイパーフェクTV!/J SPORTS(録),10183,2006-07-19 19:02:00,13,20248,11
9304,第1日,名古屋,広島,晴,26.5,64,東海テレビ(録)/J SPORTS(録),6760,2006-07-19 19:01:00,13,20223,4
9305,第1日,C大阪,大分,曇,24.6,79,J SPORTS(録),6806,2006-07-19 19:00:00,13,47853,16
9306,第1日,福岡,FC東京,雨,23.2,96,MXテレビ/J SPORTS(録),12142,2006-07-19 19:04:00,13,22331,14
9307,第1日,FC東京,鹿島,晴,25.1,54,MXテレビ/J SPORTS(録),17070,2006-07-22 18:06:00,14,20396,20
9308,第1日,広島,千葉,晴,24.6,87,J SPORTS,13432,2006-07-22 18:06:00,14,36894,7
9309,第1日,大宮,甲府,曇,24.5,80,J SPORTS(録),7493,2006-07-22 19:00:00,14,21500,19
9310,第1日,川崎F,浦和,曇,24.4,77,BS/J SPORTS(録),23005,2006-07-22 19:04:00,14,26232,6
9311,第1日,磐田,C大阪,曇,25.1,75,スカイパーフェクTV!/静岡放送(録)/J SPORTS(録),13524,2006-07-22 19:02:00,14,15165,17
9312,第1日,G大阪,名古屋,曇,26.7,75,BS-i/J SPORTS(録),17864,2006-07-22 19:05:00,14,21000,0
9313,第1日,大分,新潟,曇のち雨のち屋内,26.1,80,J SPORTS(録),19304,2006-07-22 19:04:00,14,31997,15
9314,第2日,横浜FM,福岡,曇一時雨,24.8,84,BS-i/J SPORTS(録),19223,2006-07-23 19:05:00,14,71624,8
9315,第2日,京都,清水,雨,22.8,98,BS/KBS京都(録)/テレビ静岡(録)/J SPORTS(録),9005,2006-07-23 19:05:00,14,20588,13
9316,第1日,浦和,大分,晴,28.3,68,テレ玉/BS-i/J SPORTS(録),16040,2006-07-26 19:04:00,15,21500,19
9317,第1日,川崎F,G大阪,晴,26.8,74,J SPORTS,20425,2006-07-26 19:05:00,15,26232,6
9318,第1日,新潟,鹿島,晴,24.5,73,スカイパーフェクTV!/J SPORTS(録),39278,2006-07-26 19:02:00,15,41684,10
9319,第1日,磐田,横浜FM,晴,25.8,79,BS/J SPORTS(録),12875,2006-07-26 19:04:00,15,15165,17
9320,第1日,名古屋,大宮,晴,30.4,66,J SPORTS(録),6618,2006-07-26 19:00:00,15,20223,4
9321,第1日,京都,千葉,晴,30.5,74,KBS京都/J SPORTS(録),13225,2006-07-26 19:04:00,15,20588,13
9322,第1日,C大阪,FC東京,晴,28.8,83,BS-i(録)/J SPORTS(録),8027,2006-07-26 19:05:00,15,47853,16
9323,第1日,広島,甲府,曇一時雨,25.0,89,J SPORTS(録),5545,2006-07-26 19:00:00,15,36894,7
9324,第1日,福岡,清水,晴,28.3,78,J SPORTS(録),13655,2006-07-26 19:00:00,15,22331,14
9325,第1日,大宮,京都,曇,29.8,51,テレ玉/KBS京都/J SPORTS(録),7278,2006-07-29 18:04:00,16,15392,22
9326,第1日,FC東京,広島,曇,27.7,72,MXテレビ/スカイパーフェクTV!/J SPORTS(録),31684,2006-07-29 18:34:00,16,47851,2
9327,第1日,甲府,浦和,曇,28.1,62,J SPORTS,17000,2006-07-29 18:34:00,16,15859,1
9328,第1日,鹿島,C大阪,曇,24.1,88,BS/J SPORTS(録),14289,2006-07-29 19:05:00,16,38620,12
9329,第1日,清水,磐田,曇,28.0,65,BS-i/静岡放送(録)/J SPORTS(録),24920,2006-07-29 19:05:00,16,51697,3
9330,第1日,G大阪,福岡,晴,27.3,75,J SPORTS(録),14621,2006-07-29 19:04:00,16,21000,0
9331,第1日,大分,川崎F,晴,29.6,73,J SPORTS(録),20873,2006-07-29 19:04:00,16,31997,15
9332,第2日,千葉,名古屋,晴,22.8,74,BS-i/J SPORTS(録),16961,2006-07-30 19:04:00,16,19470,9
9333,第2日,横浜FM,新潟,曇,24.7,59,BS/J SPORTS(録),24032,2006-07-30 19:04:00,16,71624,8
9334,第1日,広島,清水,晴,27.3,82,J SPORTS(録),10569,2006-08-12 18:00:00,17,36894,7
9335,第1日,浦和,FC東京,晴,24.1,88,テレ玉/BS-i/MXテレビ(録)/J SPORTS(録),50195,2006-08-12 19:04:00,17,62010,5
9336,第1日,川崎F,横浜FM,曇,24.1,81,BS-i(録)/J SPORTS(録),20144,2006-08-12 19:04:00,17,26232,6
9337,第1日,新潟,千葉,晴,27.2,59,J SPORTS(録),41487,2006-08-12 19:00:00,17,41684,10
9338,第1日,磐田,鹿島,曇,24.9,80,スカイパーフェクTV!/J SPORTS(録),30353,2006-08-12 19:04:00,17,51697,3
9339,第1日,名古屋,甲府,曇,27.1,73,J SPORTS(録),12454,2006-08-12 19:01:00,17,20223,4
9340,第1日,京都,G大阪,晴,27.3,76,KBS京都/スカイパーフェクTV!/J SPORTS(録),16089,2006-08-12 19:04:00,17,20588,13
9341,第1日,C大阪,大宮,晴,29.4,69,J SPORTS(録),12616,2006-08-12 19:00:00,17,47853,16
9342,第1日,福岡,大分,晴,28.7,75,BS/J SPORTS(録),18205,2006-08-12 19:04:00,17,22331,14
9343,第1日,鹿島,浦和,曇,27.8,82,BS/J SPORTS(録),34236,2006-08-19 19:04:00,18,38620,12
9344,第1日,大宮,G大阪,晴,30.4,66,テレ玉/BS-i/J SPORTS(録),11355,2006-08-19 19:04:00,18,21500,19
9345,第1日,新潟,川崎F,晴,29.8,83,J SPORTS,38611,2006-08-19 19:04:00,18,41684,10
9346,第1日,清水,甲府,晴,27.4,80,静岡放送(録)/J SPORTS(録),15410,2006-08-19 19:04:00,18,20248,11
9347,第1日,名古屋,磐田,晴,28.4,80,中部日本放送(録)/J SPORTS(録),14392,2006-08-19 19:00:00,18,20223,4
9348,第1日,C大阪,横浜FM,曇,30.6,66,スカイパーフェクTV!/J SPORTS(録),18609,2006-08-19 19:02:00,18,47853,16
9349,第1日,福岡,京都,曇,24.4,84,J SPORTS(録),10387,2006-08-19 19:00:00,18,22331,14
9350,第2日,広島,大分,晴,27.9,82,BS-i/J SPORTS(録),10145,2006-08-20 18:05:00,18,36894,7
9351,第2日,千葉,FC東京,晴,27.3,89,BS/J SPORTS(録),17261,2006-08-20 19:04:00,18,19470,9
9352,第1日,浦和,新潟,晴,27.6,84,テレ玉/BS-i(録)/J SPORTS(録),34417,2006-08-23 19:04:00,19,62010,5
9353,第1日,FC東京,福岡,曇,28.6,64,MXテレビ/J SPORTS(録),18533,2006-08-23 19:04:00,19,54224,23
9354,第1日,川崎F,名古屋,曇,28.8,67,J SPORTS(録),11306,2006-08-23 19:01:00,19,26232,6
9355,第1日,横浜FM,大宮,曇,27.1,80,BS-i(録)/J SPORTS(録),11623,2006-08-23 19:05:00,19,15440,24
9356,第1日,甲府,鹿島,曇,27.3,76,J SPORTS,12115,2006-08-23 19:04:00,19,15859,1
9357,第1日,磐田,千葉,曇,27.6,81,スカイパーフェクTV!/J SPORTS(録),11992,2006-08-23 19:02:00,19,15165,17
9358,第1日,京都,C大阪,晴,27.5,61,KBS京都/J SPORTS(録),11291,2006-08-23 19:04:00,19,20588,13
9359,第1日,G大阪,広島,晴,27.4,55,BS/J SPORTS(録),17826,2006-08-23 19:04:00,19,21000,0
9360,第1日,大分,清水,晴,29.3,70,J SPORTS(録),18864,2006-08-23 19:04:00,19,31997,15
9361,第1日,大宮,川崎F,曇,25.5,72,スカイパーフェクTV!/J SPORTS(録),9076,2006-08-26 18:03:00,20,15392,22
9362,第1日,鹿島,広島,曇,26.0,64,J SPORTS(録),14052,2006-08-26 18:30:00,20,38620,12
9363,第1日,甲府,磐田,雨,25.1,75,J SPORTS(録),14227,2006-08-26 18:34:00,20,15859,1
9364,第1日,新潟,大分,晴,27.0,62,BS/J SPORTS(録),40466,2006-08-26 19:04:00,20,41684,10
9365,第1日,清水,FC東京,曇,26.8,58,J SPORTS,16177,2006-08-26 19:04:00,20,20248,11
9366,第1日,C大阪,浦和,曇,29.3,69,BS-i/J SPORTS(録),23386,2006-08-26 19:05:00,20,47853,16
9367,第1日,福岡,千葉,晴,26.6,86,RKB毎日放送(録)/J SPORTS(録),17738,2006-08-26 19:00:00,20,22331,14
9368,第2日,名古屋,G大阪,曇,27.0,73,BS-i/名古屋テレビ(録)/J SPORTS(録),17556,2006-08-27 19:05:00,20,20223,4
9369,第2日,京都,横浜FM,曇,26.3,89,BS/KBS京都(録)/J SPORTS(録),8886,2006-08-27 19:04:00,20,20588,13
9370,第1日,千葉,川崎F,曇,24.2,82,J SPORTS(録),11433,2006-08-30 18:30:00,21,19470,9
9371,第1日,鹿島,名古屋,曇,24.4,84,BS-i(録)/J SPORTS(録),9457,2006-08-30 18:59:00,21,38620,12
9372,第1日,大宮,福岡,曇,25.9,68,テレ玉/J SPORTS(録),4873,2006-08-30 19:04:00,21,21500,19
9373,第1日,FC東京,C大阪,曇,26.3,60,MXテレビ*/MXテレビ(録)/J SPORTS(録),21041,2006-08-30 19:04:00,21,54224,23
9374,第1日,横浜FM,甲府,雨のち曇,25.1,74,BS-i/J SPORTS(録),12384,2006-08-30 19:05:00,21,15440,24
9375,第1日,清水,京都,曇,26.7,83,J SPORTS(録),9249,2006-08-30 19:00:00,21,20248,11
9376,第1日,G大阪,新潟,曇,26.1,63,スカイパーフェクTV!/J SPORTS(録),13979,2006-08-30 19:03:00,21,21000,0
9377,第1日,広島,磐田,曇,25.4,80,J SPORTS,9513,2006-08-30 19:04:00,21,36894,7
9378,第1日,大分,浦和,屋内,25.7,90,BS/J SPORTS(録),27843,2006-08-30 19:04:00,21,31997,15
9379,第1日,横浜FM,川崎F,晴のち曇,29.3,68,NHK総合/J SPORTS(録),22769,2006-09-09 16:04:00,22,71624,8
9380,第1日,広島,名古屋,曇,25.6,90,スカイパーフェクTV!/J SPORTS(録),9299,2006-09-09 18:02:00,22,36894,7
9381,第1日,FC東京,甲府,曇,27.5,79,MXテレビ/J SPORTS(録),21382,2006-09-09 18:34:00,22,47851,2
9382,第1日,千葉,清水,曇,26.2,86,BS-i/J SPORTS(録),13463,2006-09-09 19:04:00,22,19470,9
9383,第1日,磐田,新潟,晴,27.0,90,J SPORTS(録),11471,2006-09-09 19:00:00,22,15165,17
9384,第1日,G大阪,C大阪,晴,29.4,64,BS/毎日放送(録)/J SPORTS(録),20463,2006-09-09 19:04:00,22,21000,0
9385,第1日,大分,福岡,屋内,25.8,86,J SPORTS,26841,2006-09-09 19:04:00,22,31997,15
9386,第2日,鹿島,京都,晴,27.3,77,BS/J SPORTS(録),9142,2006-09-10 19:04:00,22,38620,12
9387,第2日,大宮,浦和,晴,28.6,75,テレ玉/BS-i/J SPORTS(録),35059,2006-09-10 19:05:00,22,62010,5
9388,第1日,京都,FC東京,曇,26.1,59,KBS京都(録)/MXテレビ(録)/J SPORTS(録),8440,2006-09-16 14:04:00,23,20588,13
9389,第1日,大分,G大阪,曇時々晴のち屋内,26.3,88,NHK大分/スカイパーフェクTV!/J SPORTS(録),25384,2006-09-16 14:04:00,23,31997,15
9390,第1日,清水,鹿島,曇,25.3,46,BS/NHK静岡(録)/J SPORTS(録),20800,2006-09-16 15:04:00,23,54224,23
9391,第1日,浦和,広島,曇,21.3,76,テレ玉/BS-i/J SPORTS(録),39123,2006-09-16 19:04:00,23,62010,5
9392,第1日,名古屋,新潟,曇,24.2,58,J SPORTS(録),9308,2006-09-16 19:00:00,23,20223,4
9393,第1日,C大阪,千葉,晴,25.0,57,J SPORTS,19036,2006-09-16 19:04:00,23,47853,16
9394,第1日,福岡,横浜FM,雨のち曇,23.1,88,BS/福岡放送(録)/J SPORTS(録),12519,2006-09-16 19:04:00,23,22331,14
9395,第2日,川崎F,磐田,雨,21.3,88,BS/J SPORTS(録),15482,2006-09-17 19:04:00,23,26232,6
9396,第2日,甲府,大宮,曇,22.3,79,BS-i/J SPORTS(録),10150,2006-09-17 19:04:00,23,15859,1
9397,第1日,浦和,清水,晴,23.3,58,BS/テレ玉(録)/NHK静岡(録)/J SPORTS(録),48378,2006-09-23 15:04:00,24,62010,5
9398,第1日,横浜FM,名古屋,晴,23.6,42,BS-i/J SPORTS(録),21665,2006-09-23 15:05:00,24,71624,8
9399,第1日,福岡,C大阪,晴,22.9,55,スカイパーフェクTV!/RKB毎日放送(録)/J SPORTS(録),12654,2006-09-23 15:02:00,24,22331,14
9400,第1日,磐田,大分,晴時々曇,25.2,43,静岡放送/J SPORTS(録),11218,2006-09-23 15:34:00,24,15165,17
9401,第1日,広島,大宮,晴,25.3,41,J SPORTS(録),10265,2006-09-23 16:00:00,24,36894,7
9402,第1日,千葉,京都,曇時々晴,20.3,64,J SPORTS/KBS京都(録),10857,2006-09-23 18:34:00,24,19470,9
9403,第1日,G大阪,川崎F,晴,19.8,57,BS/関西テレビ(録)/J SPORTS(録),17544,2006-09-23 19:03:00,24,21000,0
9404,第2日,鹿島,FC東京,晴,23.0,52,BS-i/J SPORTS(録),17398,2006-09-24 15:04:00,24,38620,12
9405,第2日,新潟,甲府,晴,21.4,47,BS/J SPORTS(録),40422,2006-09-24 15:04:00,24,41684,10
